sampleID	treatment	timepoint	count_type	cell_counts_glitter
CG1	control	T1	flow	798090000
CG2	control	T1	flow	1070040000
CG3	control	T1	flow	1973580000
CG4	control	T1	flow	2136750000
CG5	control	T1	flow	679320000
CG6	control	T1	flow	541680000
CG7	control	T1	flow	1010100000
CG8	control	T1	flow	2632920000
WG1	warming	T1	flow	2127870000
WG2	warming	T1	flow	2854920000
WG3	warming	T1	flow	563880000
WG4	warming	T1	flow	840270000
WG5	warming	T1	flow	331890000
WG6	warming	T1	flow	769230000
WG7	warming	T1	flow	741480000
WG8	warming	T1	flow	308580000
CG1	control	T1	plate	48000000
CG2	control	T1	plate	218000000
CG3	control	T1	plate	188000000
CG4	control	T1	plate	420000000
CG5	control	T1	plate	312000000
CG6	control	T1	plate	108000000
CG7	control	T1	plate	240000000
CG8	control	T1	plate	228000000
WG1	warming	T1	plate	128000000
WG2	warming	T1	plate	340000000
WG3	warming	T1	plate	68000000
WG4	warming	T1	plate	222000000
WG5	warming	T1	plate	22000000
WG6	warming	T1	plate	60000000
WG7	warming	T1	plate	130000000
WG8	warming	T1	plate	42000000
CG1	control	T3	flow	1
CG2	control	T3	flow	2
CG3	control	T3	flow	3
CG4	control	T3	flow	4
CG5	control	T3	flow	5
CG6	control	T3	flow	6
CG7	control	T3	flow	7
CG8	control	T3	flow	8
WG1	warming	T3	flow	9
WG2	warming	T3	flow	10
WG3	warming	T3	flow	11
WG4	warming	T3	flow	12
WG5	warming	T3	flow	13
WG6	warming	T3	flow	14
WG7	warming	T3	flow	15
WG8	warming	T3	flow	16
