Treatment,Replicate,Collection_point,SampleID,bagid,Date,proportion_dry,mass_to_cell_extraction,Colony_count_0,Colony_count_10-1,Colony_count_10-2,Colony_count_10-3,Colony_count_10-4,Colony_count_10-5,Colony_corrected_0,Colony_corrected_10-1,Colony_corrected_10-2,Colony_corrected_10-3,Colony_corrected_10-4,Colony_corrected_10-5,E4_gate_dilution_drymass_corrected,E5_gate_dilution_drymass_corrected,E6_gate_dilution_drymass_corrected
Neg,1,1,Neg_1_01,1,1/22/2025,0.952,0.05,7,0,0,n,n,n,3676.470588,0,0,#VALUE!,#VALUE!,#VALUE!,3512605.042,2861155.462,3502494.748
Neg,2,1,Neg_2_01,2,1/22/2025,0.952,0.05,0,0,0,n,n,n,0,0,0,#VALUE!,#VALUE!,#VALUE!,791491.5966,636890.7563,798713.2353
Neg,3,1,Neg_3_01,3,1/22/2025,0.952,0.05,11,0,0,n,n,n,5777.310924,0,0,#VALUE!,#VALUE!,#VALUE!,14287289.92,13069663.87,14311843.49
Neg,4,1,Neg_4_01,4,1/22/2025,0.952,0.05,21,0,0,n,n,n,11029.41176,0,0,#VALUE!,#VALUE!,#VALUE!,8914390.756,6425756.303,5056591.387
D26,1,1,D26_1_01,5,1/22/2025,0.952,0.05,full,full,295,n,n,n,#VALUE!,#VALUE!,15493697.48,#VALUE!,#VALUE!,#VALUE!,1380777.311,1445714.286,1399553.571
D26,2,1,D26_2_01,6,1/22/2025,0.952,0.05,n,n,37,n,n,n,#VALUE!,#VALUE!,1943277.311,#VALUE!,#VALUE!,#VALUE!,378413.8655,304695.3782,414522.0588
D26,3,1,D26_3_01,7,1/22/2025,0.952,0.05,n,n,n,n,n,n,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,417699.5798,469348.7395,405856.0924
D26,4,1,D26_4_01,8,1/22/2025,0.952,0.05,n,n,536,n,n,n,#VALUE!,#VALUE!,28151260.5,#VALUE!,#VALUE!,#VALUE!,3194852.941,2682058.824,3178965.336
G58,1,1,G58_1_01,9,1/22/2025,0.952,0.05,n,n,n,n,n,n,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,42711659.66,34907899.16,43487263.66
G58,2,1,G58_2_01,10,1/22/2025,0.952,0.05,n,n,96,n,n,n,#VALUE!,#VALUE!,5042016.807,#VALUE!,#VALUE!,#VALUE!,331039.916,254432.7731,349816.1765
G58,3,1,G58_3_01,11,1/22/2025,0.952,0.05,n,n,604,n,n,n,#VALUE!,#VALUE!,31722689.08,#VALUE!,#VALUE!,#VALUE!,2594012.605,2092773.109,2595456.933
G58,4,1,G58_4_01,12,1/22/2025,0.952,0.05,n,n,n,n,n,n,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3241071.429,2693613.445,3230961.134
Neg,1,2,Neg_1_02,1,1/24/2025,0.952,0.05,0,0,0,n,n,n,0,0,0,#VALUE!,#VALUE!,#VALUE!,6487920.168,5963571.429,6512473.739
Neg,2,2,Neg_2_02,2,1/24/2025,0.952,0.05,0,0,0,n,n,n,0,0,0,#VALUE!,#VALUE!,#VALUE!,368592.437,561785.7143,371192.2269
