ReadingOriginal,ReadingStand,Values,Humidity
19/01/2021 01:21:01,1/19/2021 1:21,3.5,100.216
19/01/2021 02:21:01,1/19/2021 2:21,4.5,100.575
19/01/2021 03:21:01,1/19/2021 3:21,6.313,99.857
19/01/2021 04:21:01,1/19/2021 4:21,5.25,101.054
19/01/2021 05:21:01,1/19/2021 5:21,5.5,101.334
19/01/2021 06:21:01,1/19/2021 6:21,6.438,81.692
19/01/2021 07:21:01,1/19/2021 7:21,9.063,48.438
19/01/2021 08:21:01,1/19/2021 8:21,13.375,23.527
19/01/2021 09:21:01,1/19/2021 9:21,16.125,15.942
19/01/2021 10:21:01,1/19/2021 10:21,19,12.229
19/01/2021 11:21:01,1/19/2021 11:21,24.5,9.674
19/01/2021 12:21:01,1/19/2021 12:21,27.5,5.882
19/01/2021 13:21:01,1/19/2021 13:21,21.375,9.075
19/01/2021 14:21:01,1/19/2021 14:21,19.125,13.068
19/01/2021 15:21:01,1/19/2021 15:21,15.5,24.605
19/01/2021 16:21:01,1/19/2021 16:21,13.938,30.274
19/01/2021 17:21:01,1/19/2021 17:21,12.188,36.462
19/01/2021 18:21:01,1/19/2021 18:21,13.25,34.146
19/01/2021 19:21:01,1/19/2021 19:21,13.25,36.102
19/01/2021 20:21:01,1/19/2021 20:21,13.75,36.781
19/01/2021 21:21:01,1/19/2021 21:21,13.313,39.056
19/01/2021 22:21:01,1/19/2021 22:21,13.438,36.262
19/01/2021 23:21:01,1/19/2021 23:21,13.063,37.02
20/01/2021 00:21:01,1/20/2021 0:21,12.938,35.543
20/01/2021 01:21:01,1/20/2021 1:21,12.75,37.579
20/01/2021 02:21:01,1/20/2021 2:21,13.875,36.342
20/01/2021 03:21:01,1/20/2021 3:21,13.813,37.14
20/01/2021 04:21:01,1/20/2021 4:21,13.813,39.456
20/01/2021 05:21:01,1/20/2021 5:21,13.625,39.815
20/01/2021 06:21:01,1/20/2021 6:21,13.063,43.807
20/01/2021 07:21:01,1/20/2021 7:21,13.688,49.516
20/01/2021 08:21:01,1/20/2021 8:21,14.938,45.603
20/01/2021 09:21:01,1/20/2021 9:21,21.063,29.316
20/01/2021 10:21:01,1/20/2021 10:21,25.063,22.729
20/01/2021 11:21:01,1/20/2021 11:21,27.5,17.698
20/01/2021 12:21:01,1/20/2021 12:21,28.75,15.982
20/01/2021 13:21:01,1/20/2021 13:21,27.75,16.301
20/01/2021 14:21:01,1/20/2021 14:21,26.875,17.179
20/01/2021 15:21:01,1/20/2021 15:21,23.813,20.852
20/01/2021 16:21:01,1/20/2021 16:21,19.625,28.517
20/01/2021 17:21:01,1/20/2021 17:21,14.813,41.372
20/01/2021 18:21:01,1/20/2021 18:21,13.75,45.803
20/01/2021 19:21:01,1/20/2021 19:21,13.25,49.356
20/01/2021 20:21:01,1/20/2021 20:21,13.375,48.638
20/01/2021 21:21:01,1/20/2021 21:21,13.188,50.753
20/01/2021 22:21:01,1/20/2021 22:21,13.813,50.474
20/01/2021 23:21:01,1/20/2021 23:21,12,57.181
21/01/2021 00:21:01,1/21/2021 0:21,12.813,53.069
21/01/2021 01:21:01,1/21/2021 1:21,12.625,54.147
21/01/2021 02:21:01,1/21/2021 2:21,13.063,56.342
21/01/2021 03:21:01,1/21/2021 3:21,13.938,50.075
21/01/2021 04:21:01,1/21/2021 4:21,12.063,57.859
21/01/2021 05:21:01,1/21/2021 5:21,11.125,63.289
21/01/2021 06:21:01,1/21/2021 6:21,8.938,67.161
21/01/2021 07:21:01,1/21/2021 7:21,7.938,76.782
21/01/2021 08:21:01,1/21/2021 8:21,9.125,76.742
21/01/2021 09:21:01,1/21/2021 9:21,23.688,29.954
21/01/2021 10:21:01,1/21/2021 10:21,26.5,25.084
21/01/2021 11:21:01,1/21/2021 11:21,29,19.096
21/01/2021 12:21:01,1/21/2021 12:21,30.688,20.453
21/01/2021 13:21:01,1/21/2021 13:21,27.813,22.13
21/01/2021 14:21:01,1/21/2021 14:21,29.438,21.371
21/01/2021 15:21:01,1/21/2021 15:21,25.625,26.002
21/01/2021 16:21:01,1/21/2021 16:21,19.063,41.092
21/01/2021 17:21:01,1/21/2021 17:21,12.875,61.532
21/01/2021 18:21:01,1/21/2021 18:21,9.25,73.908
21/01/2021 19:21:01,1/21/2021 19:21,7.875,81.493
21/01/2021 20:21:01,1/21/2021 20:21,6.75,87.88
21/01/2021 21:21:01,1/21/2021 21:21,6.625,89.757
21/01/2021 22:21:01,1/21/2021 22:21,6.25,92.112
21/01/2021 23:21:01,1/21/2021 23:21,5.375,93.15
22/01/2021 00:21:01,1/22/2021 0:21,5.75,91.433
22/01/2021 01:21:01,1/22/2021 1:21,4.563,94.587
22/01/2021 02:21:01,1/22/2021 2:21,9.188,90.475
22/01/2021 03:21:01,1/22/2021 3:21,9,89.038
22/01/2021 04:21:01,1/22/2021 4:21,8.688,89.717
22/01/2021 05:21:01,1/22/2021 5:21,5.875,97.741
22/01/2021 06:21:01,1/22/2021 6:21,4.688,101.613
22/01/2021 07:21:01,1/22/2021 7:21,8.688,101.613
22/01/2021 08:21:01,1/22/2021 8:21,11.125,99.577
22/01/2021 09:21:01,1/22/2021 9:21,14.5,79.417
22/01/2021 10:21:01,1/22/2021 10:21,17.938,72.111
22/01/2021 11:21:01,1/22/2021 11:21,17.063,60.614
22/01/2021 12:21:01,1/22/2021 12:21,17.625,58.698
22/01/2021 13:21:01,1/22/2021 13:21,16.313,61.532
22/01/2021 14:21:01,1/22/2021 14:21,15.688,65.165
22/01/2021 15:21:01,1/22/2021 15:21,14,65.045
22/01/2021 16:21:01,1/22/2021 16:21,12.438,66.363
22/01/2021 17:21:01,1/22/2021 17:21,10.563,72.79
22/01/2021 18:21:01,1/22/2021 18:21,10.688,76.662
22/01/2021 19:21:01,1/22/2021 19:21,10.125,80.455
22/01/2021 20:21:01,1/22/2021 20:21,9.625,90.395
22/01/2021 21:21:01,1/22/2021 21:21,9.688,97.861
22/01/2021 22:21:01,1/22/2021 22:21,9.375,102.252
22/01/2021 23:21:01,1/22/2021 23:21,8.813,103.729
23/01/2021 00:21:01,1/23/2021 0:21,8.375,103.609
23/01/2021 01:21:01,1/23/2021 1:21,7.625,105.126
23/01/2021 02:21:01,1/23/2021 2:21,6.625,106.244
23/01/2021 03:21:01,1/23/2021 3:21,7.375,106.603
23/01/2021 04:21:01,1/23/2021 4:21,5.25,107.761
23/01/2021 05:21:01,1/23/2021 5:21,7.438,107.242
23/01/2021 06:21:01,1/23/2021 6:21,6.563,107.761
23/01/2021 07:21:01,1/23/2021 7:21,7.563,107.442
23/01/2021 08:21:01,1/23/2021 8:21,10.5,105.126
23/01/2021 09:21:01,1/23/2021 9:21,10.25,104.527
23/01/2021 10:21:01,1/23/2021 10:21,11.625,104.527
23/01/2021 11:21:01,1/23/2021 11:21,9.5,106.044
23/01/2021 12:21:01,1/23/2021 12:21,7.563,107.402
23/01/2021 13:21:01,1/23/2021 13:21,7.875,107.162
23/01/2021 14:21:01,1/23/2021 14:21,8.438,106.683
23/01/2021 15:21:01,1/23/2021 15:21,9.5,106.683
23/01/2021 16:21:01,1/23/2021 16:21,7.938,108.599
23/01/2021 17:21:01,1/23/2021 17:21,6.938,108.839
