ReadingOriginal,ReadingStand,Values,Humidity
19/01/2021 00:49:01,1/19/2021 0:49,3.5,99.058
19/01/2021 01:49:01,1/19/2021 1:49,3.5,101.254
19/01/2021 02:49:01,1/19/2021 2:49,5,101.094
19/01/2021 03:49:01,1/19/2021 3:49,5.25,100.016
19/01/2021 04:49:01,1/19/2021 4:49,5.375,102.212
19/01/2021 05:49:01,1/19/2021 5:49,6.25,104.368
19/01/2021 06:49:01,1/19/2021 6:49,6.313,79.816
19/01/2021 07:49:01,1/19/2021 7:49,10.438,45.603
19/01/2021 08:49:01,1/19/2021 8:49,13.5,25.683
19/01/2021 09:49:01,1/19/2021 9:49,15.438,20.693
19/01/2021 10:49:01,1/19/2021 10:49,19.188,16.022
19/01/2021 11:49:01,1/19/2021 11:49,23.25,14.345
19/01/2021 12:49:01,1/19/2021 12:49,22.688,11.59
19/01/2021 13:49:01,1/19/2021 13:49,19.875,15.742
19/01/2021 14:49:01,1/19/2021 14:49,16.063,22.09
19/01/2021 15:49:01,1/19/2021 15:49,14.5,31.91
19/01/2021 16:49:01,1/19/2021 16:49,12.875,34.944
19/01/2021 17:49:01,1/19/2021 17:49,12.563,38.737
19/01/2021 18:49:01,1/19/2021 18:49,13,36.501
19/01/2021 19:49:01,1/19/2021 19:49,13.125,39.136
19/01/2021 20:49:01,1/19/2021 20:49,13.438,40.254
19/01/2021 21:49:01,1/19/2021 21:49,13.375,41.013
19/01/2021 22:49:01,1/19/2021 22:49,12.438,40.973
19/01/2021 23:49:01,1/19/2021 23:49,12.938,38.737
20/01/2021 00:49:01,1/20/2021 0:49,12.625,39.216
20/01/2021 01:49:01,1/20/2021 1:49,13.063,40.134
20/01/2021 02:49:01,1/20/2021 2:49,13.688,40.174
20/01/2021 03:49:01,1/20/2021 3:49,13.5,41.292
20/01/2021 04:49:01,1/20/2021 4:49,13.25,43.088
20/01/2021 05:49:01,1/20/2021 5:49,13.375,43.528
20/01/2021 06:49:01,1/20/2021 6:49,13,49.675
20/01/2021 07:49:01,1/20/2021 7:49,13.563,53.468
20/01/2021 08:49:01,1/20/2021 8:49,16.938,43.368
20/01/2021 09:49:01,1/20/2021 9:49,16.75,43.049
20/01/2021 10:49:01,1/20/2021 10:49,22.938,29.835
20/01/2021 11:49:01,1/20/2021 11:49,24.375,25.643
20/01/2021 12:49:01,1/20/2021 12:49,24,25.124
20/01/2021 13:49:01,1/20/2021 13:49,23.25,26.92
20/01/2021 14:49:01,1/20/2021 14:49,21.188,29.356
20/01/2021 15:49:01,1/20/2021 15:49,19.125,33.946
20/01/2021 16:49:01,1/20/2021 16:49,15.75,40.893
20/01/2021 17:49:01,1/20/2021 17:49,13.75,49.276
20/01/2021 18:49:01,1/20/2021 18:49,12.75,53.708
20/01/2021 19:49:01,1/20/2021 19:49,13.313,51.991
20/01/2021 20:49:01,1/20/2021 20:49,12.313,56.302
20/01/2021 21:49:01,1/20/2021 21:49,11.813,59.776
20/01/2021 22:49:01,1/20/2021 22:49,12.188,58.338
20/01/2021 23:49:01,1/20/2021 23:49,12.125,60.135
21/01/2021 00:49:01,1/21/2021 0:49,11.438,62.969
21/01/2021 01:49:01,1/21/2021 1:49,11.438,62.41
21/01/2021 02:49:01,1/21/2021 2:49,13.188,58.578
21/01/2021 03:49:01,1/21/2021 3:49,12.188,58.817
21/01/2021 04:49:01,1/21/2021 4:49,9.813,69.037
21/01/2021 05:49:01,1/21/2021 5:49,9.125,73.469
21/01/2021 06:49:01,1/21/2021 6:49,7.125,79.377
21/01/2021 07:49:01,1/21/2021 7:49,7.563,82.73
21/01/2021 08:49:01,1/21/2021 8:49,16.813,64.087
21/01/2021 09:49:01,1/21/2021 9:49,14.5,60.853
21/01/2021 10:49:01,1/21/2021 10:49,24.875,37.579
21/01/2021 11:49:01,1/21/2021 11:49,26.75,28.517
21/01/2021 12:49:01,1/21/2021 12:49,26.063,29.276
21/01/2021 13:49:01,1/21/2021 13:49,24.125,32.03
21/01/2021 14:49:01,1/21/2021 14:49,22.25,36.262
21/01/2021 15:49:01,1/21/2021 15:49,19.438,43.887
21/01/2021 16:49:01,1/21/2021 16:49,15,57.78
21/01/2021 17:49:01,1/21/2021 17:49,10.125,71.153
21/01/2021 18:49:01,1/21/2021 18:49,7.563,81.852
21/01/2021 19:49:01,1/21/2021 19:49,6.563,86.723
21/01/2021 20:49:01,1/21/2021 20:49,6.125,90.675
21/01/2021 21:49:01,1/21/2021 21:49,5.563,93.549
21/01/2021 22:49:01,1/21/2021 22:49,5.125,96.703
21/01/2021 23:49:01,1/21/2021 23:49,5.063,96.104
22/01/2021 00:49:01,1/22/2021 0:49,4.438,97.421
22/01/2021 01:49:01,1/22/2021 1:49,7,99.417
22/01/2021 02:49:01,1/22/2021 2:49,7.313,99.777
22/01/2021 03:49:01,1/22/2021 3:49,6.625,100.416
22/01/2021 04:49:01,1/22/2021 4:49,5.5,102.252
22/01/2021 05:49:01,1/22/2021 5:49,7.25,105.246
22/01/2021 06:49:01,1/22/2021 6:49,5.25,107.042
22/01/2021 07:49:01,1/22/2021 7:49,9.125,102.97
22/01/2021 08:49:01,1/22/2021 8:49,13.438,91.074
22/01/2021 09:49:01,1/22/2021 9:49,14.375,88.878
22/01/2021 10:49:01,1/22/2021 10:49,18.125,69.357
22/01/2021 11:49:01,1/22/2021 11:49,17,70.395
22/01/2021 12:49:01,1/22/2021 12:49,16.438,68.798
22/01/2021 13:49:01,1/22/2021 13:49,14.438,72.431
22/01/2021 14:49:01,1/22/2021 14:49,13.375,71.353
22/01/2021 15:49:01,1/22/2021 15:49,12.938,60.893
22/01/2021 16:49:01,1/22/2021 16:49,11,74.706
22/01/2021 17:49:01,1/22/2021 17:49,10.5,79.337
22/01/2021 18:49:01,1/22/2021 18:49,10.625,82.171
22/01/2021 19:49:01,1/22/2021 19:49,9.5,88.479
22/01/2021 20:49:01,1/22/2021 20:49,9.5,96.264
22/01/2021 21:49:01,1/22/2021 21:49,9.438,103.21
22/01/2021 22:49:01,1/22/2021 22:49,9.125,108.16
22/01/2021 23:49:01,1/22/2021 23:49,8.688,107.961
23/01/2021 00:49:01,1/23/2021 0:49,8.188,109.797
23/01/2021 01:49:01,1/23/2021 1:49,5.813,112.552
23/01/2021 02:49:01,1/23/2021 2:49,7.375,111.594
23/01/2021 03:49:01,1/23/2021 3:49,7.125,112.512
23/01/2021 04:49:01,1/23/2021 4:49,6.75,114.228
23/01/2021 05:49:01,1/23/2021 5:49,7.563,111.554
23/01/2021 06:49:01,1/23/2021 6:49,7.313,112.512
23/01/2021 07:49:01,1/23/2021 7:49,8.938,112.392
23/01/2021 08:49:01,1/23/2021 8:49,11.75,109.558
23/01/2021 09:49:01,1/23/2021 9:49,13.375,106.723
23/01/2021 10:49:01,1/23/2021 10:49,9.625,108.28
23/01/2021 11:49:01,1/23/2021 11:49,8.75,110.795
23/01/2021 12:49:01,1/23/2021 12:49,8.5,111.713
23/01/2021 13:49:01,1/23/2021 13:49,8.938,110.955
23/01/2021 14:49:01,1/23/2021 14:49,10,111.554
23/01/2021 15:49:01,1/23/2021 15:49,9.875,112.312
23/01/2021 16:49:01,1/23/2021 16:49,7.938,112.791
23/01/2021 17:49:01,1/23/2021 17:49,6.938,113.59
23/01/2021 18:49:01,1/23/2021 18:49,5.875,114.588
23/01/2021 19:49:01,1/23/2021 19:49,4.938,115.147
23/01/2021 20:49:01,1/23/2021 20:49,6.313,113.989
23/01/2021 21:49:01,1/23/2021 21:49,3.25,115.745
23/01/2021 22:49:01,1/23/2021 22:49,3.75,116.105
23/01/2021 23:49:01,1/23/2021 23:49,5.813,114.907
24/01/2021 00:49:01,1/24/2021 0:49,5.5,114.628
24/01/2021 01:49:01,1/24/2021 1:49,5.875,115.107
24/01/2021 02:49:01,1/24/2021 2:49,5.875,114.588
24/01/2021 03:49:01,1/24/2021 3:49,3.625,114.987
24/01/2021 04:49:01,1/24/2021 4:49,2.063,115.226
24/01/2021 05:49:01,1/24/2021 5:49,2.375,116.424
24/01/2021 06:49:01,1/24/2021 6:49,1.438,117.023
24/01/2021 07:49:01,1/24/2021 7:49,1.875,117.183
24/01/2021 08:49:01,1/24/2021 8:49,12,111.953
24/01/2021 09:49:01,1/24/2021 9:49,7.875,114.628
24/01/2021 10:49:01,1/24/2021 10:49,16.375,108.559
24/01/2021 11:49:01,1/24/2021 11:49,19.375,107.841
24/01/2021 12:49:01,1/24/2021 12:49,14.25,105.126
24/01/2021 13:49:01,1/24/2021 13:49,15,107.242
24/01/2021 14:49:01,1/24/2021 14:49,14.375,109.478
24/01/2021 15:49:01,1/24/2021 15:49,9.25,113.55
24/01/2021 16:49:01,1/24/2021 16:49,8.563,113.709
24/01/2021 17:49:01,1/24/2021 17:49,8.188,112.991
24/01/2021 18:49:01,1/24/2021 18:49,6.938,114.228
24/01/2021 19:49:01,1/24/2021 19:49,8.125,112.871
24/01/2021 20:49:01,1/24/2021 20:49,8,113.909
24/01/2021 21:49:01,1/24/2021 21:49,7.875,113.789
24/01/2021 22:49:01,1/24/2021 22:49,7.688,114.029
24/01/2021 23:49:01,1/24/2021 23:49,7.5,114.308
25/01/2021 00:49:01,1/25/2021 0:49,7.375,113.989
25/01/2021 01:49:01,1/25/2021 1:49,7.188,114.588
25/01/2021 02:49:01,1/25/2021 2:49,7.5,114.069
25/01/2021 03:49:01,1/25/2021 3:49,6.563,114.388
25/01/2021 04:49:01,1/25/2021 4:49,6.563,114.947
25/01/2021 05:49:01,1/25/2021 5:49,5.938,115.226
25/01/2021 06:49:01,1/25/2021 6:49,5.375,115.865
25/01/2021 07:49:01,1/25/2021 7:49,3,116.384
25/01/2021 08:49:01,1/25/2021 8:49,10.438,112.472
25/01/2021 09:49:01,1/25/2021 9:49,6.688,114.747
25/01/2021 10:49:01,1/25/2021 10:49,11,110.835
25/01/2021 11:49:01,1/25/2021 11:49,11.375,110.156
25/01/2021 12:49:01,1/25/2021 12:49,8.063,112.073
25/01/2021 13:49:01,1/25/2021 13:49,11.125,109.278
25/01/2021 14:49:01,1/25/2021 14:49,9.688,112.152
25/01/2021 15:49:01,1/25/2021 15:49,8.813,113.23
25/01/2021 16:49:01,1/25/2021 16:49,6,113.869
25/01/2021 17:49:01,1/25/2021 17:49,5.313,114.787
25/01/2021 18:49:01,1/25/2021 18:49,4.313,115.985
25/01/2021 19:49:01,1/25/2021 19:49,1.25,116.584
25/01/2021 20:49:01,1/25/2021 20:49,0.938,116.943
25/01/2021 21:49:01,1/25/2021 21:49,0.313,117.422
25/01/2021 22:49:01,1/25/2021 22:49,-0.375,117.542
25/01/2021 23:49:01,1/25/2021 23:49,-0.5,118.3
26/01/2021 00:49:01,1/26/2021 0:49,-0.188,118.939
26/01/2021 01:49:01,1/26/2021 1:49,-0.5,118.58
26/01/2021 02:49:01,1/26/2021 2:49,-0.75,117.422
26/01/2021 03:49:01,1/26/2021 3:49,-0.813,118.34
26/01/2021 04:49:01,1/26/2021 4:49,-1.125,119.618
26/01/2021 05:49:01,1/26/2021 5:49,-1.375,118.7
26/01/2021 06:49:01,1/26/2021 6:49,-1.75,118.62
26/01/2021 07:49:01,1/26/2021 7:49,-1.438,117.941
26/01/2021 08:49:01,1/26/2021 8:49,8.188,113.51
26/01/2021 09:49:01,1/26/2021 9:49,4.313,114.029
26/01/2021 10:49:01,1/26/2021 10:49,12.5,106.803
26/01/2021 11:49:01,1/26/2021 11:49,13.375,102.372
26/01/2021 12:49:01,1/26/2021 12:49,13.688,101.214
26/01/2021 13:49:01,1/26/2021 13:49,13.938,103.25
26/01/2021 14:49:01,1/26/2021 14:49,10.438,99.777
