ReadingOriginal,ReadingStand,Values,Humidity
19/01/2021 01:26:01,1/19/2021 1:26,5.75,82.97
19/01/2021 02:26:01,1/19/2021 2:26,6.25,84.647
19/01/2021 03:26:01,1/19/2021 3:26,7.875,83.728
19/01/2021 04:26:01,1/19/2021 4:26,6.563,85.485
19/01/2021 05:26:01,1/19/2021 5:26,6.813,87.361
19/01/2021 06:26:01,1/19/2021 6:26,7.563,79.696
19/01/2021 07:26:01,1/19/2021 7:26,10.188,64.965
19/01/2021 08:26:01,1/19/2021 8:26,14.438,40.134
19/01/2021 09:26:01,1/19/2021 9:26,16.75,28.078
19/01/2021 10:26:01,1/19/2021 10:26,23.5,16.301
19/01/2021 11:26:01,1/19/2021 11:26,32.188,11.79
19/01/2021 12:26:01,1/19/2021 12:26,38.375,7.638
19/01/2021 13:26:01,1/19/2021 13:26,31.5,10.712
19/01/2021 14:26:01,1/19/2021 14:26,23,12.628
19/01/2021 15:26:01,1/19/2021 15:26,17.75,23.128
19/01/2021 16:26:01,1/19/2021 16:26,15.375,27.799
19/01/2021 17:26:01,1/19/2021 17:26,12.938,34.825
19/01/2021 18:26:01,1/19/2021 18:26,13.813,33.986
19/01/2021 19:26:01,1/19/2021 19:26,13.563,35.503
19/01/2021 20:26:01,1/19/2021 20:26,14.063,36.781
19/01/2021 21:26:01,1/19/2021 21:26,13.438,40.174
19/01/2021 22:26:01,1/19/2021 22:26,13.375,38.857
19/01/2021 23:26:01,1/19/2021 23:26,12.813,40.294
20/01/2021 00:26:01,1/20/2021 0:26,12.813,38.697
20/01/2021 01:26:01,1/20/2021 1:26,12.75,40.054
20/01/2021 02:26:01,1/20/2021 2:26,13.375,39.615
20/01/2021 03:26:01,1/20/2021 3:26,13.563,39.735
20/01/2021 04:26:01,1/20/2021 4:26,13.438,41.252
20/01/2021 05:26:01,1/20/2021 5:26,13.25,42.649
20/01/2021 06:26:01,1/20/2021 6:26,13,44.246
20/01/2021 07:26:01,1/20/2021 7:26,13.938,49.995
20/01/2021 08:26:01,1/20/2021 8:26,15.813,46.043
20/01/2021 09:26:01,1/20/2021 9:26,17.063,43.647
20/01/2021 10:26:01,1/20/2021 10:26,32.063,20.732
20/01/2021 11:26:01,1/20/2021 11:26,36,14.385
20/01/2021 12:26:01,1/20/2021 12:26,38.438,10.592
20/01/2021 13:26:01,1/20/2021 13:26,38.063,11.151
20/01/2021 14:26:01,1/20/2021 14:26,36.313,11.431
20/01/2021 15:26:01,1/20/2021 15:26,31.25,15.143
20/01/2021 16:26:01,1/20/2021 16:26,23.375,25.204
20/01/2021 17:26:01,1/20/2021 17:26,16.188,35.982
20/01/2021 18:26:01,1/20/2021 18:26,15,41.931
20/01/2021 19:26:01,1/20/2021 19:26,14.125,46.522
20/01/2021 20:26:01,1/20/2021 20:26,13.688,47.48
20/01/2021 21:26:01,1/20/2021 21:26,13.188,51.153
20/01/2021 22:26:01,1/20/2021 22:26,13.563,51.711
20/01/2021 23:26:01,1/20/2021 23:26,12.375,55.344
21/01/2021 00:26:01,1/21/2021 0:26,12.313,57.5
21/01/2021 01:26:01,1/21/2021 1:26,12.5,56.742
21/01/2021 02:26:01,1/21/2021 2:26,13.063,58.977
21/01/2021 03:26:01,1/21/2021 3:26,14.063,55.025
21/01/2021 04:26:01,1/21/2021 4:26,11.813,60.334
21/01/2021 05:26:01,1/21/2021 5:26,11.125,64.047
21/01/2021 06:26:01,1/21/2021 6:26,9.563,66.083
21/01/2021 07:26:01,1/21/2021 7:26,9.438,69.676
21/01/2021 08:26:01,1/21/2021 8:26,11,69.117
21/01/2021 09:26:01,1/21/2021 9:26,16,57.101
21/01/2021 10:26:01,1/21/2021 10:26,32.313,21.691
21/01/2021 11:26:01,1/21/2021 11:26,35.688,14.465
21/01/2021 12:26:01,1/21/2021 12:26,38.375,13.986
21/01/2021 13:26:01,1/21/2021 13:26,36.625,14.465
21/01/2021 14:26:01,1/21/2021 14:26,35.688,14.625
21/01/2021 15:26:01,1/21/2021 15:26,29.938,18.896
21/01/2021 16:26:01,1/21/2021 16:26,21.75,32.869
21/01/2021 17:26:01,1/21/2021 17:26,14.563,50.873
21/01/2021 18:26:01,1/21/2021 18:26,11.5,61.732
21/01/2021 19:26:01,1/21/2021 19:26,9.938,67.999
21/01/2021 20:26:01,1/21/2021 20:26,8.875,71.473
21/01/2021 21:26:01,1/21/2021 21:26,8.5,74.028
21/01/2021 22:26:01,1/21/2021 22:26,7.938,76.423
21/01/2021 23:26:01,1/21/2021 23:26,7.375,78.539
22/01/2021 00:26:01,1/22/2021 0:26,7.125,79.217
22/01/2021 01:26:01,1/22/2021 1:26,6.625,80.654
22/01/2021 02:26:01,1/22/2021 2:26,8.625,81.652
22/01/2021 03:26:01,1/22/2021 3:26,8.563,82.81
22/01/2021 04:26:01,1/22/2021 4:26,8.813,85.046
22/01/2021 05:26:01,1/22/2021 5:26,7.063,87.162
22/01/2021 06:26:01,1/22/2021 6:26,6.75,89.198
22/01/2021 07:26:01,1/22/2021 7:26,9.438,86.882
22/01/2021 08:26:01,1/22/2021 8:26,12.5,86.283
22/01/2021 09:26:01,1/22/2021 9:26,16,73.868
22/01/2021 10:26:01,1/22/2021 10:26,23.125,54.426
22/01/2021 11:26:01,1/22/2021 11:26,21.5,46.761
22/01/2021 12:26:01,1/22/2021 12:26,22.188,42.011
22/01/2021 13:26:01,1/22/2021 13:26,19.375,47.041
22/01/2021 14:26:01,1/22/2021 14:26,22.438,49.156
22/01/2021 15:26:01,1/22/2021 15:26,18.75,49.476
22/01/2021 16:26:01,1/22/2021 16:26,13.875,53.867
22/01/2021 17:26:01,1/22/2021 17:26,11.5,66.123
