ReadingOriginal,ReadingStand,Values,Humidity
19/01/2021 01:24:01,1/19/2021 1:24,5.75,88.679
19/01/2021 02:24:01,1/19/2021 2:24,6.438,88.958
19/01/2021 03:24:01,1/19/2021 3:24,7.813,90.076
19/01/2021 04:24:01,1/19/2021 4:24,6.813,91.912
19/01/2021 05:24:01,1/19/2021 5:24,7.063,92.751
19/01/2021 06:24:01,1/19/2021 6:24,7.5,87.96
19/01/2021 07:24:01,1/19/2021 7:24,9.938,70.115
19/01/2021 08:24:01,1/19/2021 8:24,15,41.651
19/01/2021 09:24:01,1/19/2021 9:24,19.5,22.449
19/01/2021 10:24:01,1/19/2021 10:24,25.688,14.425
19/01/2021 11:24:01,1/19/2021 11:24,34.75,9.754
19/01/2021 12:24:01,1/19/2021 12:24,39.688,6.041
19/01/2021 13:24:01,1/19/2021 13:24,30.5,8.756
19/01/2021 14:24:01,1/19/2021 14:24,24.5,11.75
19/01/2021 15:24:01,1/19/2021 15:24,17.938,22.409
19/01/2021 16:24:01,1/19/2021 16:24,15.563,29.435
19/01/2021 17:24:01,1/19/2021 17:24,13.063,36.701
19/01/2021 18:24:01,1/19/2021 18:24,13.813,36.501
19/01/2021 19:24:01,1/19/2021 19:24,13.5,38.617
19/01/2021 20:24:01,1/19/2021 20:24,14,40.494
19/01/2021 21:24:01,1/19/2021 21:24,13.5,42.41
19/01/2021 22:24:01,1/19/2021 22:24,13.438,41.891
19/01/2021 23:24:01,1/19/2021 23:24,12.875,42.969
20/01/2021 00:24:01,1/20/2021 0:24,12.813,41.013
20/01/2021 01:24:01,1/20/2021 1:24,12.688,44.007
20/01/2021 02:24:01,1/20/2021 2:24,13.438,43.128
20/01/2021 03:24:01,1/20/2021 3:24,13.563,43.847
20/01/2021 04:24:01,1/20/2021 4:24,13.5,45.284
20/01/2021 05:24:01,1/20/2021 5:24,13.375,45.723
20/01/2021 06:24:01,1/20/2021 6:24,13.063,47.4
20/01/2021 07:24:01,1/20/2021 7:24,14.125,52.191
20/01/2021 08:24:01,1/20/2021 8:24,16.563,46.841
20/01/2021 09:24:01,1/20/2021 9:24,25.188,29.675
20/01/2021 10:24:01,1/20/2021 10:24,36.375,14.904
20/01/2021 11:24:01,1/20/2021 11:24,40.438,11.91
20/01/2021 12:24:01,1/20/2021 12:24,41.813,9.714
20/01/2021 13:24:01,1/20/2021 13:24,40.625,10.393
20/01/2021 14:24:01,1/20/2021 14:24,36.563,11.99
20/01/2021 15:24:01,1/20/2021 15:24,32.063,17.219
20/01/2021 16:24:01,1/20/2021 16:24,25.563,22.13
20/01/2021 17:24:01,1/20/2021 17:24,16.625,36.302
20/01/2021 18:24:01,1/20/2021 18:24,15.125,43.168
20/01/2021 19:24:01,1/20/2021 19:24,14.313,48.717
20/01/2021 20:24:01,1/20/2021 20:24,13.875,49.316
20/01/2021 21:24:01,1/20/2021 21:24,13.438,53.228
20/01/2021 22:24:01,1/20/2021 22:24,13.688,54.666
20/01/2021 23:24:01,1/20/2021 23:24,12.688,57.46
21/01/2021 00:24:01,1/21/2021 0:24,12.75,57.34
