"ReadingOriginal","ReadingStand","Values","Humidity"
"13/09/2021 02:21:01",2021-09-13 02:21:01,10.813,64.047
"13/09/2021 03:21:01",2021-09-13 03:21:01,10.188,62.61
"13/09/2021 04:21:01",2021-09-13 04:21:01,9.563,63.967
"13/09/2021 05:21:01",2021-09-13 05:21:01,9.688,63.209
"13/09/2021 06:21:01",2021-09-13 06:21:01,11.313,59.776
"13/09/2021 07:21:01",2021-09-13 07:21:01,17.563,50.713
"13/09/2021 08:21:01",2021-09-13 08:21:01,25.313,39.136
"13/09/2021 09:21:01",2021-09-13 09:21:01,32.438,29.435
"13/09/2021 10:21:01",2021-09-13 10:21:01,39.25,19.655
"13/09/2021 11:21:01",2021-09-13 11:21:01,44.688,10.353
"13/09/2021 12:21:01",2021-09-13 12:21:01,48.188,7.079
"13/09/2021 13:21:01",2021-09-13 13:21:01,48.25,6.401
"13/09/2021 14:21:01",2021-09-13 14:21:01,46.563,7.119
"13/09/2021 15:21:01",2021-09-13 15:21:01,45.563,6.281
"13/09/2021 16:21:01",2021-09-13 16:21:01,42.125,10.832
"13/09/2021 17:21:01",2021-09-13 17:21:01,34.5,20.693
"13/09/2021 18:21:01",2021-09-13 18:21:01,21.938,39.775
"13/09/2021 19:21:01",2021-09-13 19:21:01,16.25,43.607
"13/09/2021 20:21:01",2021-09-13 20:21:01,13.563,46.043
"13/09/2021 21:21:01",2021-09-13 21:21:01,12.25,49.196
"13/09/2021 22:21:01",2021-09-13 22:21:01,10.813,53.308
"13/09/2021 23:21:01",2021-09-13 23:21:01,10.875,56.143
"14/09/2021 00:21:01",2021-09-14 00:21:01,9.938,58.338
"14/09/2021 01:21:01",2021-09-14 01:21:01,9.563,60.015
"14/09/2021 02:21:01",2021-09-14 02:21:01,9.688,65.684
"14/09/2021 03:21:01",2021-09-14 03:21:01,14.313,67.48
"14/09/2021 04:21:01",2021-09-14 04:21:01,13.625,72.51
"14/09/2021 05:21:01",2021-09-14 05:21:01,7.563,80.814
"14/09/2021 06:21:01",2021-09-14 06:21:01,15,75.225
"14/09/2021 07:21:01",2021-09-14 07:21:01,15.375,77.86
"14/09/2021 08:21:01",2021-09-14 08:21:01,21.063,63.209
"14/09/2021 09:21:01",2021-09-14 09:21:01,29.438,37.26
"14/09/2021 10:21:01",2021-09-14 10:21:01,36.313,20.613
"14/09/2021 11:21:01",2021-09-14 11:21:01,41.563,13.427
"14/09/2021 12:21:01",2021-09-14 12:21:01,46.563,8.716
"14/09/2021 13:21:01",2021-09-14 13:21:01,45.938,11.83
"14/09/2021 14:21:01",2021-09-14 14:21:01,44.063,13.746
"14/09/2021 15:21:01",2021-09-14 15:21:01,43.25,14.784
"14/09/2021 16:21:01",2021-09-14 16:21:01,37.625,21.331
"14/09/2021 17:21:01",2021-09-14 17:21:01,30.375,32.669
"14/09/2021 18:21:01",2021-09-14 18:21:01,19.75,58.658
"14/09/2021 19:21:01",2021-09-14 19:21:01,16.875,71.313
"14/09/2021 20:21:01",2021-09-14 20:21:01,13.313,72.151
"14/09/2021 21:21:01",2021-09-14 21:21:01,11,73.509
"14/09/2021 22:21:01",2021-09-14 22:21:01,9.625,74.387
"14/09/2021 23:21:01",2021-09-14 23:21:01,8.875,75.505
"15/09/2021 00:21:01",2021-09-15 00:21:01,13.5,73.828
"15/09/2021 01:21:01",2021-09-15 01:21:01,16.313,74.187
"15/09/2021 02:21:01",2021-09-15 02:21:01,16.625,74.626
"15/09/2021 03:21:01",2021-09-15 03:21:01,16.688,73.628
"15/09/2021 04:21:01",2021-09-15 04:21:01,16.5,74.227
"15/09/2021 05:21:01",2021-09-15 05:21:01,16.25,74.227
"15/09/2021 06:21:01",2021-09-15 06:21:01,17,72.95
"15/09/2021 07:21:01",2021-09-15 07:21:01,20.313,64.726
"15/09/2021 08:21:01",2021-09-15 08:21:01,22.813,55.065
"15/09/2021 09:21:01",2021-09-15 09:21:01,30.438,35.024
"15/09/2021 10:21:01",2021-09-15 10:21:01,37.188,21.81
"15/09/2021 11:21:01",2021-09-15 11:21:01,41.063,15.303
"15/09/2021 12:21:01",2021-09-15 12:21:01,44.125,13.387
"15/09/2021 13:21:01",2021-09-15 13:21:01,43.563,11.551
"15/09/2021 14:21:01",2021-09-15 14:21:01,43.188,13.227
"15/09/2021 15:21:01",2021-09-15 15:21:01,40.813,15.782
"15/09/2021 16:21:01",2021-09-15 16:21:01,36.25,20.014
"15/09/2021 17:21:01",2021-09-15 17:21:01,28.625,33.228
"15/09/2021 18:21:01",2021-09-15 18:21:01,18.563,56.342
"15/09/2021 19:21:01",2021-09-15 19:21:01,15.125,65.484
"15/09/2021 20:21:01",2021-09-15 20:21:01,12.438,68.119
"15/09/2021 21:21:01",2021-09-15 21:21:01,10.563,68.718
"15/09/2021 22:21:01",2021-09-15 22:21:01,9.563,70.714
"15/09/2021 23:21:01",2021-09-15 23:21:01,12.563,74.826
"16/09/2021 00:21:01",2021-09-16 00:21:01,16.25,69.836
"16/09/2021 01:21:01",2021-09-16 01:21:01,16.563,73.828
"16/09/2021 02:21:01",2021-09-16 02:21:01,16.5,73.868
"16/09/2021 03:21:01",2021-09-16 03:21:01,16.5,72.271
"16/09/2021 04:21:01",2021-09-16 04:21:01,16.188,72.431
"16/09/2021 05:21:01",2021-09-16 05:21:01,15.813,72.63
"16/09/2021 06:21:01",2021-09-16 06:21:01,16.25,71.712
"16/09/2021 07:21:01",2021-09-16 07:21:01,19.25,63.408
"16/09/2021 08:21:01",2021-09-16 08:21:01,24.813,47.839
"16/09/2021 09:21:01",2021-09-16 09:21:01,29.938,33.268
"16/09/2021 10:21:01",2021-09-16 10:21:01,35.5,22.09
"16/09/2021 11:21:01",2021-09-16 11:21:01,39.813,15.303
"16/09/2021 12:21:01",2021-09-16 12:21:01,42.875,13.786
"16/09/2021 13:21:01",2021-09-16 13:21:01,40.938,14.984
"16/09/2021 14:21:01",2021-09-16 14:21:01,39.5,16.7
"16/09/2021 15:21:01",2021-09-16 15:21:01,39.563,16.461
"16/09/2021 16:21:01",2021-09-16 16:21:01,35.5,20.653
"16/09/2021 17:21:01",2021-09-16 17:21:01,27.875,31.192
"16/09/2021 18:21:01",2021-09-16 18:21:01,18,59.097
"16/09/2021 19:21:01",2021-09-16 19:21:01,15.313,70.993
"16/09/2021 20:21:01",2021-09-16 20:21:01,12.938,74.906
"16/09/2021 21:21:01",2021-09-16 21:21:01,9.75,74.746
"16/09/2021 22:21:01",2021-09-16 22:21:01,8.813,74.267
"16/09/2021 23:21:01",2021-09-16 23:21:01,14.313,76.662
"17/09/2021 00:21:01",2021-09-17 00:21:01,16.063,74.946
"17/09/2021 01:21:01",2021-09-17 01:21:01,15.75,74.028
"17/09/2021 02:21:01",2021-09-17 02:21:01,16.125,73.429
"17/09/2021 03:21:01",2021-09-17 03:21:01,16.188,73.588
"17/09/2021 04:21:01",2021-09-17 04:21:01,16.063,72.79
"17/09/2021 05:21:01",2021-09-17 05:21:01,15.875,72.55
"17/09/2021 06:21:01",2021-09-17 06:21:01,16.563,71.393
"17/09/2021 07:21:01",2021-09-17 07:21:01,20.188,61.891
"17/09/2021 08:21:01",2021-09-17 08:21:01,23.063,52.749
"17/09/2021 09:21:01",2021-09-17 09:21:01,28.188,36.462
"17/09/2021 10:21:01",2021-09-17 10:21:01,34.688,24.725
"17/09/2021 11:21:01",2021-09-17 11:21:01,39,18.417
"17/09/2021 12:21:01",2021-09-17 12:21:01,43,14.864
"17/09/2021 13:21:01",2021-09-17 13:21:01,42.313,14.345
"17/09/2021 14:21:01",2021-09-17 14:21:01,42.625,13.746
"17/09/2021 15:21:01",2021-09-17 15:21:01,39.563,17.778
"17/09/2021 16:21:01",2021-09-17 16:21:01,35.313,22.01
"17/09/2021 17:21:01",2021-09-17 17:21:01,27.375,35.224
"17/09/2021 18:21:01",2021-09-17 18:21:01,18.313,60.135
"17/09/2021 19:21:01",2021-09-17 19:21:01,16.188,72.91
"17/09/2021 20:21:01",2021-09-17 20:21:01,13.688,75.864
"17/09/2021 21:21:01",2021-09-17 21:21:01,12.25,74.906
"17/09/2021 22:21:01",2021-09-17 22:21:01,14.063,71.872
