"ReadingOriginal","ReadingStand","Values","Humidity"
"13/09/2021 02:49:01",2021-09-13 02:49:01,11.313,63.448
"13/09/2021 03:49:01",2021-09-13 03:49:01,11.063,63.249
"13/09/2021 04:49:01",2021-09-13 04:49:01,10.25,64.287
"13/09/2021 05:49:01",2021-09-13 05:49:01,10.5,63.568
"13/09/2021 06:49:01",2021-09-13 06:49:01,11.938,60.534
"13/09/2021 07:49:01",2021-09-13 07:49:01,19.75,50.234
"13/09/2021 08:49:01",2021-09-13 08:49:01,25,47.639
"13/09/2021 09:49:01",2021-09-13 09:49:01,31,36.102
"13/09/2021 10:49:01",2021-09-13 10:49:01,36.5,24.765
"13/09/2021 11:49:01",2021-09-13 11:49:01,41.375,15.782
"13/09/2021 12:49:01",2021-09-13 12:49:01,44.625,13.666
"13/09/2021 13:49:01",2021-09-13 13:49:01,44.938,11.231
"13/09/2021 14:49:01",2021-09-13 14:49:01,44.313,9.634
"13/09/2021 15:49:01",2021-09-13 15:49:01,41.25,13.068
"13/09/2021 16:49:01",2021-09-13 16:49:01,35.625,19.894
"13/09/2021 17:49:01",2021-09-13 17:49:01,26.563,32.629
"13/09/2021 18:49:01",2021-09-13 18:49:01,19.75,42.45
"13/09/2021 19:49:01",2021-09-13 19:49:01,16.563,45.484
"13/09/2021 20:49:01",2021-09-13 20:49:01,14.563,49.276
"13/09/2021 21:49:01",2021-09-13 21:49:01,13.25,52.51
"13/09/2021 22:49:01",2021-09-13 22:49:01,12.125,56.821
"13/09/2021 23:49:01",2021-09-13 23:49:01,11.625,59.816
"14/09/2021 00:49:01",2021-09-14 00:49:01,10.75,62.41
"14/09/2021 01:49:01",2021-09-14 01:49:01,10.75,64.965
"14/09/2021 02:49:01",2021-09-14 02:49:01,14.5,65.524
"14/09/2021 03:49:01",2021-09-14 03:49:01,14.313,70.075
"14/09/2021 04:49:01",2021-09-14 04:49:01,9.313,78.299
"14/09/2021 05:49:01",2021-09-14 05:49:01,13.063,76.782
"14/09/2021 06:49:01",2021-09-14 06:49:01,15.563,76.223
"14/09/2021 07:49:01",2021-09-14 07:49:01,16,81.373
"14/09/2021 08:49:01",2021-09-14 08:49:01,21.25,68.199
"14/09/2021 09:49:01",2021-09-14 09:49:01,28.125,44.925
"14/09/2021 10:49:01",2021-09-14 10:49:01,34,28.198
"14/09/2021 11:49:01",2021-09-14 11:49:01,39.125,21.491
"14/09/2021 12:49:01",2021-09-14 12:49:01,42.438,17.06
"14/09/2021 13:49:01",2021-09-14 13:49:01,43.25,16.86
"14/09/2021 14:49:01",2021-09-14 14:49:01,41.5,18.417
"14/09/2021 15:49:01",2021-09-14 15:49:01,37.688,22.649
"14/09/2021 16:49:01",2021-09-14 16:49:01,32.313,30.713
"14/09/2021 17:49:01",2021-09-14 17:49:01,23.625,47.32
"14/09/2021 18:49:01",2021-09-14 18:49:01,18.875,60.614
"14/09/2021 19:49:01",2021-09-14 19:49:01,16.75,67.361
"14/09/2021 20:49:01",2021-09-14 20:49:01,14.188,69.197
"14/09/2021 21:49:01",2021-09-14 21:49:01,12,71.313
"14/09/2021 22:49:01",2021-09-14 22:49:01,10.813,73.509
"14/09/2021 23:49:01",2021-09-14 23:49:01,9.688,74.906
"15/09/2021 00:49:01",2021-09-15 00:49:01,15.938,71.752
"15/09/2021 01:49:01",2021-09-15 01:49:01,16.313,74.028
"15/09/2021 02:49:01",2021-09-15 02:49:01,16.75,73.349
"15/09/2021 03:49:01",2021-09-15 03:49:01,16.75,73.309
"15/09/2021 04:49:01",2021-09-15 04:49:01,16.438,73.668
"15/09/2021 05:49:01",2021-09-15 05:49:01,16.375,73.748
"15/09/2021 06:49:01",2021-09-15 06:49:01,17.563,71.632
"15/09/2021 07:49:01",2021-09-15 07:49:01,18.125,69.995
"15/09/2021 08:49:01",2021-09-15 08:49:01,22.125,63.369
"15/09/2021 09:49:01",2021-09-15 09:49:01,28.375,47.081
"15/09/2021 10:49:01",2021-09-15 10:49:01,33.875,30.952
"15/09/2021 11:49:01",2021-09-15 11:49:01,38.313,22.369
"15/09/2021 12:49:01",2021-09-15 12:49:01,40.438,19.774
"15/09/2021 13:49:01",2021-09-15 13:49:01,41.25,18.257
"15/09/2021 14:49:01",2021-09-15 14:49:01,40.813,18.976
"15/09/2021 15:49:01",2021-09-15 15:49:01,36.813,22.05
"15/09/2021 16:49:01",2021-09-15 16:49:01,31.688,29.675
"15/09/2021 17:49:01",2021-09-15 17:49:01,22.688,44.765
"15/09/2021 18:49:01",2021-09-15 18:49:01,17.75,56.781
"15/09/2021 19:49:01",2021-09-15 19:49:01,15.438,62.331
"15/09/2021 20:49:01",2021-09-15 20:49:01,13.188,65.764
"15/09/2021 21:49:01",2021-09-15 21:49:01,12.438,67.44
"15/09/2021 22:49:01",2021-09-15 22:49:01,11.313,70.594
"15/09/2021 23:49:01",2021-09-15 23:49:01,15.438,68.918
"16/09/2021 00:49:01",2021-09-16 00:49:01,16.688,70.195
