"ReadingOriginal","ReadingStand","Values","Humidity"
"13/09/2021 02:25:01",2021-09-13 02:25:01,15.25,59.935
"13/09/2021 03:25:01",2021-09-13 03:25:01,14.5,56.702
"13/09/2021 04:25:01",2021-09-13 04:25:01,13.938,58.857
"13/09/2021 05:25:01",2021-09-13 05:25:01,13.625,56.263
"13/09/2021 06:25:01",2021-09-13 06:25:01,15.5,49.715
"13/09/2021 07:25:01",2021-09-13 07:25:01,23.938,34.026
"13/09/2021 08:25:01",2021-09-13 08:25:01,31.313,28.118
"13/09/2021 09:25:01",2021-09-13 09:25:01,36.313,23.407
"13/09/2021 10:25:01",2021-09-13 10:25:01,41.063,17.1
"13/09/2021 11:25:01",2021-09-13 11:25:01,44.125,10.433
"13/09/2021 12:25:01",2021-09-13 12:25:01,46.125,8.836
"13/09/2021 13:25:01",2021-09-13 13:25:01,45.813,8.077
"13/09/2021 14:25:01",2021-09-13 14:25:01,44.313,9.834
"13/09/2021 15:25:01",2021-09-13 15:25:01,42.5,10.313
"13/09/2021 16:25:01",2021-09-13 16:25:01,38.875,15.223
"13/09/2021 17:25:01",2021-09-13 17:25:01,33.5,23.926
"13/09/2021 18:25:01",2021-09-13 18:25:01,25.188,37.1
"13/09/2021 19:25:01",2021-09-13 19:25:01,20.063,44.486
"13/09/2021 20:25:01",2021-09-13 20:25:01,18,52.869
"13/09/2021 21:25:01",2021-09-13 21:25:01,16.688,56.781
"13/09/2021 22:25:01",2021-09-13 22:25:01,15.75,59.855
"13/09/2021 23:25:01",2021-09-13 23:25:01,15.313,62.81
"14/09/2021 00:25:01",2021-09-14 00:25:01,14.688,63.408
"14/09/2021 01:25:01",2021-09-14 01:25:01,14.313,64.406
"14/09/2021 02:25:01",2021-09-14 02:25:01,13.875,75.345
"14/09/2021 03:25:01",2021-09-14 03:25:01,16.313,78.618
"14/09/2021 04:25:01",2021-09-14 04:25:01,14.688,83.249
"14/09/2021 05:25:01",2021-09-14 05:25:01,11.313,84.607
"14/09/2021 06:25:01",2021-09-14 06:25:01,15.625,78.778
"14/09/2021 07:25:01",2021-09-14 07:25:01,19.688,71.313
"14/09/2021 08:25:01",2021-09-14 08:25:01,27.375,43.208
"14/09/2021 09:25:01",2021-09-14 09:25:01,33.625,27.918
"14/09/2021 10:25:01",2021-09-14 10:25:01,38.5,19.016
"14/09/2021 11:25:01",2021-09-14 11:25:01,41.938,14.265
"14/09/2021 12:25:01",2021-09-14 12:25:01,44.063,11.111
"14/09/2021 13:25:01",2021-09-14 13:25:01,43.625,13.826
"14/09/2021 14:25:01",2021-09-14 14:25:01,42.5,15.263
"14/09/2021 15:25:01",2021-09-14 15:25:01,40.438,18.497
"14/09/2021 16:25:01",2021-09-14 16:25:01,35.875,24.725
"14/09/2021 17:25:01",2021-09-14 17:25:01,30.688,34.745
"14/09/2021 18:25:01",2021-09-14 18:25:01,23.313,51.153
"14/09/2021 19:25:01",2021-09-14 19:25:01,20.25,61.333
"14/09/2021 20:25:01",2021-09-14 20:25:01,17.438,68.119
"14/09/2021 21:25:01",2021-09-14 21:25:01,16,72.071
"14/09/2021 22:25:01",2021-09-14 22:25:01,14.938,74.387
"14/09/2021 23:25:01",2021-09-14 23:25:01,14.375,74.626
"15/09/2021 00:25:01",2021-09-15 00:25:01,16.063,82.171
"15/09/2021 01:25:01",2021-09-15 01:25:01,17.938,75.145
"15/09/2021 02:25:01",2021-09-15 02:25:01,17.063,80.455
"15/09/2021 03:25:01",2021-09-15 03:25:01,16.813,82.77
"15/09/2021 04:25:01",2021-09-15 04:25:01,17,80.295
"15/09/2021 05:25:01",2021-09-15 05:25:01,16.438,82.571
"15/09/2021 06:25:01",2021-09-15 06:25:01,16.5,82.85
"15/09/2021 07:25:01",2021-09-15 07:25:01,18.563,72.75
"15/09/2021 08:25:01",2021-09-15 08:25:01,25.25,53.029
"15/09/2021 09:25:01",2021-09-15 09:25:01,32.188,31.272
"15/09/2021 10:25:01",2021-09-15 10:25:01,37.75,21.212
"15/09/2021 11:25:01",2021-09-15 11:25:01,41.438,15.942
"15/09/2021 12:25:01",2021-09-15 12:25:01,42.75,14.824
"15/09/2021 13:25:01",2021-09-15 13:25:01,42.188,15.183
"15/09/2021 14:25:01",2021-09-15 14:25:01,41.313,15.623
"15/09/2021 15:25:01",2021-09-15 15:25:01,39.375,17.938
"15/09/2021 16:25:01",2021-09-15 16:25:01,35.188,23.527
"15/09/2021 17:25:01",2021-09-15 17:25:01,29.938,33.028
"15/09/2021 18:25:01",2021-09-15 18:25:01,22.125,48.877
"15/09/2021 19:25:01",2021-09-15 19:25:01,18.688,59.696
"15/09/2021 20:25:01",2021-09-15 20:25:01,16.563,65.963
"15/09/2021 21:25:01",2021-09-15 21:25:01,15.313,68.918
"15/09/2021 22:25:01",2021-09-15 22:25:01,14.438,72.51
"15/09/2021 23:25:01",2021-09-15 23:25:01,15.25,77.66
"16/09/2021 00:25:01",2021-09-16 00:25:01,17.563,74.507
"16/09/2021 01:25:01",2021-09-16 01:25:01,17.813,74.906
"16/09/2021 02:25:01",2021-09-16 02:25:01,17.563,74.267
"16/09/2021 03:25:01",2021-09-16 03:25:01,16.938,75.545
"16/09/2021 04:25:01",2021-09-16 04:25:01,17,73.868
"16/09/2021 05:25:01",2021-09-16 05:25:01,17.063,71.512
"16/09/2021 06:25:01",2021-09-16 06:25:01,17.188,70.514
"16/09/2021 07:25:01",2021-09-16 07:25:01,18,68.518
"16/09/2021 08:25:01",2021-09-16 08:25:01,23.625,51.512
"16/09/2021 09:25:01",2021-09-16 09:25:01,31.25,30.753
"16/09/2021 10:25:01",2021-09-16 10:25:01,37.813,22.05
"16/09/2021 11:25:01",2021-09-16 11:25:01,40.625,16.74
"16/09/2021 12:25:01",2021-09-16 12:25:01,42.063,15.223
"16/09/2021 13:25:01",2021-09-16 13:25:01,41.375,15.902
"16/09/2021 14:25:01",2021-09-16 14:25:01,39.813,17.1
"16/09/2021 15:25:01",2021-09-16 15:25:01,37.188,19.495
"16/09/2021 16:25:01",2021-09-16 16:25:01,33.563,25.483
"16/09/2021 17:25:01",2021-09-16 17:25:01,28.438,32.669
"16/09/2021 18:25:01",2021-09-16 18:25:01,21.563,51.073
"16/09/2021 19:25:01",2021-09-16 19:25:01,18.938,59.017
"16/09/2021 20:25:01",2021-09-16 20:25:01,16.438,65.085
"16/09/2021 21:25:01",2021-09-16 21:25:01,14.313,70.993
"16/09/2021 22:25:01",2021-09-16 22:25:01,13.063,73.708
"16/09/2021 23:25:01",2021-09-16 23:25:01,16.125,73.229
"17/09/2021 00:25:01",2021-09-17 00:25:01,17.438,68.838
"17/09/2021 01:25:01",2021-09-17 01:25:01,17,70.435
"17/09/2021 02:25:01",2021-09-17 02:25:01,17.125,70.834
"17/09/2021 03:25:01",2021-09-17 03:25:01,17.313,69.836
"17/09/2021 04:25:01",2021-09-17 04:25:01,16.188,74.147
"17/09/2021 05:25:01",2021-09-17 05:25:01,16.188,75.225
"17/09/2021 06:25:01",2021-09-17 06:25:01,16.25,75.385
"17/09/2021 07:25:01",2021-09-17 07:25:01,20.125,63.009
"17/09/2021 08:25:01",2021-09-17 08:25:01,25.563,50.873
"17/09/2021 09:25:01",2021-09-17 09:25:01,33.75,27.759
"17/09/2021 10:25:01",2021-09-17 10:25:01,38.25,21.172
"17/09/2021 11:25:01",2021-09-17 11:25:01,40.375,18.377
"17/09/2021 12:25:01",2021-09-17 12:25:01,41.563,15.263
"17/09/2021 13:25:01",2021-09-17 13:25:01,41.813,16.541
"17/09/2021 14:25:01",2021-09-17 14:25:01,40.25,18.337
"17/09/2021 15:25:01",2021-09-17 15:25:01,38.188,20.812
"17/09/2021 16:25:01",2021-09-17 16:25:01,34.063,26.282
"17/09/2021 17:25:01",2021-09-17 17:25:01,28.563,36.182
"17/09/2021 18:25:01",2021-09-17 18:25:01,21.688,50.953
"17/09/2021 19:25:01",2021-09-17 19:25:01,19.563,59.336
"17/09/2021 20:25:01",2021-09-17 20:25:01,17.25,64.566
"17/09/2021 21:25:01",2021-09-17 21:25:01,15.75,71.113
"17/09/2021 22:25:01",2021-09-17 22:25:01,16.563,70.754
"17/09/2021 23:25:01",2021-09-17 23:25:01,16.25,71.712
"18/09/2021 00:25:01",2021-09-18 00:25:01,15.625,73.349
"18/09/2021 01:25:01",2021-09-18 01:25:01,14.75,75.145
"18/09/2021 02:25:01",2021-09-18 02:25:01,13.875,77.86
"18/09/2021 03:25:01",2021-09-18 03:25:01,13.875,80.056
