"ReadingOriginal","ReadingStand","Values","Humidity"
"13/09/2021 02:26:01",2021-09-13 02:26:01,15.125,57.54
"13/09/2021 03:26:01",2021-09-13 03:26:01,14.563,55.225
"13/09/2021 04:26:01",2021-09-13 04:26:01,13.875,56.941
"13/09/2021 05:26:01",2021-09-13 05:26:01,13.563,55.384
"13/09/2021 06:26:01",2021-09-13 06:26:01,15.375,50.674
"13/09/2021 07:26:01",2021-09-13 07:26:01,24.25,37.859
"13/09/2021 08:26:01",2021-09-13 08:26:01,31.438,27.359
"13/09/2021 09:26:01",2021-09-13 09:26:01,37.313,22.09
"13/09/2021 10:26:01",2021-09-13 10:26:01,43.875,14.225
"13/09/2021 11:26:01",2021-09-13 11:26:01,49.5,8.117
"13/09/2021 12:26:01",2021-09-13 12:26:01,53.188,5.602
"13/09/2021 13:26:01",2021-09-13 13:26:01,53.125,5.363
"13/09/2021 14:26:01",2021-09-13 14:26:01,50.813,6.121
"13/09/2021 15:26:01",2021-09-13 15:26:01,50.688,5.003
"13/09/2021 16:26:01",2021-09-13 16:26:01,46.688,8.477
"13/09/2021 17:26:01",2021-09-13 17:26:01,38.125,15.463
"13/09/2021 18:26:01",2021-09-13 18:26:01,25.5,31.032
"13/09/2021 19:26:01",2021-09-13 19:26:01,21.063,37.14
"13/09/2021 20:26:01",2021-09-13 20:26:01,18.625,42.809
"13/09/2021 21:26:01",2021-09-13 21:26:01,17.125,48.358
"13/09/2021 22:26:01",2021-09-13 22:26:01,16.063,50.594
"13/09/2021 23:26:01",2021-09-13 23:26:01,15.438,55.424
"14/09/2021 00:26:01",2021-09-14 00:26:01,14.688,57.38
"14/09/2021 01:26:01",2021-09-14 01:26:01,14.438,57.979
"14/09/2021 02:26:01",2021-09-14 02:26:01,14.5,62.131
"14/09/2021 03:26:01",2021-09-14 03:26:01,16.25,65.325
"14/09/2021 04:26:01",2021-09-14 04:26:01,14.563,71.393
"14/09/2021 05:26:01",2021-09-14 05:26:01,11.938,72.79
"14/09/2021 06:26:01",2021-09-14 06:26:01,15.813,71.872
"14/09/2021 07:26:01",2021-09-14 07:26:01,20.188,66.323
"14/09/2021 08:26:01",2021-09-14 08:26:01,27.438,44.047
"14/09/2021 09:26:01",2021-09-14 09:26:01,34.438,27.08
"14/09/2021 10:26:01",2021-09-14 10:26:01,41.25,16.181
"14/09/2021 11:26:01",2021-09-14 11:26:01,47.063,10.034
"14/09/2021 12:26:01",2021-09-14 12:26:01,51.563,7.479
"14/09/2021 13:26:01",2021-09-14 13:26:01,50.875,7.998
"14/09/2021 14:26:01",2021-09-14 14:26:01,48.813,9.954
"14/09/2021 15:26:01",2021-09-14 15:26:01,48.188,11.032
"14/09/2021 16:26:01",2021-09-14 16:26:01,42.813,14.864
"14/09/2021 17:26:01",2021-09-14 17:26:01,34.313,22.968
"14/09/2021 18:26:01",2021-09-14 18:26:01,23.375,43.168
"14/09/2021 19:26:01",2021-09-14 19:26:01,20.438,55.225
"14/09/2021 20:26:01",2021-09-14 20:26:01,18,59.137
"14/09/2021 21:26:01",2021-09-14 21:26:01,16.375,61.253
"14/09/2021 22:26:01",2021-09-14 22:26:01,15.188,64.766
"14/09/2021 23:26:01",2021-09-14 23:26:01,14.375,66.722
"15/09/2021 00:26:01",2021-09-15 00:26:01,16.688,68.638
"15/09/2021 01:26:01",2021-09-15 01:26:01,17.813,67.56
