"ReadingOriginal","ReadingStand","Values","Humidity"
"22/12/2020 14:26:01",2020-12-22 14:26:01,29.938,15.862
"22/12/2020 15:26:01",2020-12-22 15:26:01,25.188,18.696
"22/12/2020 16:26:01",2020-12-22 16:26:01,17.563,36.861
"22/12/2020 17:26:01",2020-12-22 17:26:01,12.563,55.264
"22/12/2020 18:26:01",2020-12-22 18:26:01,10.938,65.005
"22/12/2020 19:26:01",2020-12-22 19:26:01,8.75,72.111
"22/12/2020 20:26:01",2020-12-22 20:26:01,7.75,73.429
"22/12/2020 21:26:01",2020-12-22 21:26:01,9.875,74.347
"22/12/2020 22:26:01",2020-12-22 22:26:01,10.063,72.59
"22/12/2020 23:26:01",2020-12-22 23:26:01,8.5,72.191
"23/12/2020 00:26:01",2020-12-23 00:26:01,6.875,80.295
"23/12/2020 01:26:01",2020-12-23 01:26:01,5.188,80.974
"23/12/2020 02:26:01",2020-12-23 02:26:01,4.25,83.369
"23/12/2020 03:26:01",2020-12-23 03:26:01,4.5,82.451
"23/12/2020 04:26:01",2020-12-23 04:26:01,5.875,84.247
"23/12/2020 05:26:01",2020-12-23 05:26:01,7.813,84.487
"23/12/2020 06:26:01",2020-12-23 06:26:01,5,86.283
"23/12/2020 07:26:01",2020-12-23 07:26:01,8.125,86.683
"23/12/2020 08:26:01",2020-12-23 08:26:01,11.938,82.77
"23/12/2020 09:26:01",2020-12-23 09:26:01,16.75,48.518
"23/12/2020 10:26:01",2020-12-23 10:26:01,22.188,18.537
"23/12/2020 11:26:01",2020-12-23 11:26:01,28.563,6.441
"23/12/2020 12:26:01",2020-12-23 12:26:01,28.25,4.325
"23/12/2020 13:26:01",2020-12-23 13:26:01,27,3.806
"23/12/2020 14:26:01",2020-12-23 14:26:01,25.938,3.726
"23/12/2020 15:26:01",2020-12-23 15:26:01,21.313,5.562
"23/12/2020 16:26:01",2020-12-23 16:26:01,17.25,6.241
"23/12/2020 17:26:01",2020-12-23 17:26:01,15.125,7.199
"23/12/2020 18:26:01",2020-12-23 18:26:01,15.063,7.359
"23/12/2020 19:26:01",2020-12-23 19:26:01,14.25,6.84
"23/12/2020 20:26:01",2020-12-23 20:26:01,13.438,7.918
"23/12/2020 21:26:01",2020-12-23 21:26:01,13.438,7.678
"23/12/2020 22:26:01",2020-12-23 22:26:01,13.813,6.76
"23/12/2020 23:26:01",2020-12-23 23:26:01,13.063,6.88
"24/12/2020 00:26:01",2020-12-24 00:26:01,12.5,7.119
"24/12/2020 01:26:01",2020-12-24 01:26:01,12.938,6.8
"24/12/2020 02:26:01",2020-12-24 02:26:01,12.688,7
"24/12/2020 03:26:01",2020-12-24 03:26:01,12.625,7.718
"24/12/2020 04:26:01",2020-12-24 04:26:01,12.875,7.758
"24/12/2020 05:26:01",2020-12-24 05:26:01,12.188,8.077
"24/12/2020 06:26:01",2020-12-24 06:26:01,12.688,6.481
"24/12/2020 07:26:01",2020-12-24 07:26:01,11.688,8.357
"24/12/2020 08:26:01",2020-12-24 08:26:01,16.313,8.636
"24/12/2020 09:26:01",2020-12-24 09:26:01,16,8.916
"24/12/2020 10:26:01",2020-12-24 10:26:01,17.938,9.195
"24/12/2020 11:26:01",2020-12-24 11:26:01,16.938,11.91
"24/12/2020 12:26:01",2020-12-24 12:26:01,23.75,6.88
"24/12/2020 13:26:01",2020-12-24 13:26:01,22.063,6.241
"24/12/2020 14:26:01",2020-12-24 14:26:01,18.125,8.676
"24/12/2020 15:26:01",2020-12-24 15:26:01,12.75,40.174
"24/12/2020 16:26:01",2020-12-24 16:26:01,13.938,28.437
"24/12/2020 17:26:01",2020-12-24 17:26:01,15.063,27.838
"24/12/2020 18:26:01",2020-12-24 18:26:01,14.563,30.114
"24/12/2020 19:26:01",2020-12-24 19:26:01,14.438,29.675
"24/12/2020 20:26:01",2020-12-24 20:26:01,13.125,33.308
"24/12/2020 21:26:01",2020-12-24 21:26:01,12.875,34.266
"24/12/2020 22:26:01",2020-12-24 22:26:01,10.125,34.585
"24/12/2020 23:26:01",2020-12-24 23:26:01,9.188,38.897
"25/12/2020 00:26:01",2020-12-25 00:26:01,8.313,42.25
"25/12/2020 01:26:01",2020-12-25 01:26:01,8.063,44.965
"25/12/2020 02:26:01",2020-12-25 02:26:01,7.875,45.963
"25/12/2020 03:26:01",2020-12-25 03:26:01,7.25,47.839
"25/12/2020 04:26:01",2020-12-25 04:26:01,7,46.961
"25/12/2020 05:26:01",2020-12-25 05:26:01,9.75,40.653
"25/12/2020 06:26:01",2020-12-25 06:26:01,9.125,41.052
"25/12/2020 07:26:01",2020-12-25 07:26:01,9.625,41.851
"25/12/2020 08:26:01",2020-12-25 08:26:01,9.813,43.927
"25/12/2020 09:26:01",2020-12-25 09:26:01,14,38.937
"25/12/2020 10:26:01",2020-12-25 10:26:01,31.438,13.307
"25/12/2020 11:26:01",2020-12-25 11:26:01,36.438,9.195
"25/12/2020 12:26:01",2020-12-25 12:26:01,36.5,5.682
"25/12/2020 13:26:01",2020-12-25 13:26:01,35.25,5.682
"25/12/2020 14:26:01",2020-12-25 14:26:01,31.938,7.918
"25/12/2020 15:26:01",2020-12-25 15:26:01,27.125,11.311
"25/12/2020 16:26:01",2020-12-25 16:26:01,20.813,20.333
"25/12/2020 17:26:01",2020-12-25 17:26:01,13.313,35.863
"25/12/2020 18:26:01",2020-12-25 18:26:01,12.875,35.663
"25/12/2020 19:26:01",2020-12-25 19:26:01,11.188,40.254
"25/12/2020 20:26:01",2020-12-25 20:26:01,10,43.847
"25/12/2020 21:26:01",2020-12-25 21:26:01,9.125,44.645
"25/12/2020 22:26:01",2020-12-25 22:26:01,8.625,45.923
"25/12/2020 23:26:01",2020-12-25 23:26:01,8.438,46.162
"26/12/2020 00:26:01",2020-12-26 00:26:01,8.375,46.003
"26/12/2020 01:26:01",2020-12-26 01:26:01,8.25,47.001
"26/12/2020 02:26:01",2020-12-26 02:26:01,8.813,51.791
"26/12/2020 03:26:01",2020-12-26 03:26:01,6.313,54.426
"26/12/2020 04:26:01",2020-12-26 04:26:01,5.75,57.3
"26/12/2020 05:26:01",2020-12-26 05:26:01,5.75,58.937
"26/12/2020 06:26:01",2020-12-26 06:26:01,5.563,60.814
"26/12/2020 07:26:01",2020-12-26 07:26:01,5.938,59.656
"26/12/2020 08:26:01",2020-12-26 08:26:01,8.063,55.424
"26/12/2020 09:26:01",2020-12-26 09:26:01,12.5,52.43
"26/12/2020 10:26:01",2020-12-26 10:26:01,30.875,18.696
"26/12/2020 11:26:01",2020-12-26 11:26:01,31.313,18.098
"26/12/2020 12:26:01",2020-12-26 12:26:01,32.813,18.736
"26/12/2020 13:26:01",2020-12-26 13:26:01,32.875,17.698
"26/12/2020 14:26:01",2020-12-26 14:26:01,31.188,17.339
"26/12/2020 15:26:01",2020-12-26 15:26:01,24.125,33.068
"26/12/2020 16:26:01",2020-12-26 16:26:01,18.188,45.324
"26/12/2020 17:26:01",2020-12-26 17:26:01,12.875,62.45
"26/12/2020 18:26:01",2020-12-26 18:26:01,10.813,69.756
"26/12/2020 19:26:01",2020-12-26 19:26:01,9.813,74.746
"26/12/2020 20:26:01",2020-12-26 20:26:01,8.875,79.018
"26/12/2020 21:26:01",2020-12-26 21:26:01,8,82.491
"26/12/2020 22:26:01",2020-12-26 22:26:01,6.938,82.97
"26/12/2020 23:26:01",2020-12-26 23:26:01,6.5,85.685
"27/12/2020 00:26:01",2020-12-27 00:26:01,8.438,86.243
"27/12/2020 01:26:01",2020-12-27 01:26:01,8.75,86.603
"27/12/2020 02:26:01",2020-12-27 02:26:01,8.75,86.124
"27/12/2020 03:26:01",2020-12-27 03:26:01,8.063,87.162
"27/12/2020 04:26:01",2020-12-27 04:26:01,8.188,86.842
"27/12/2020 05:26:01",2020-12-27 05:26:01,7.938,87.84
"27/12/2020 06:26:01",2020-12-27 06:26:01,7.188,88.958
"27/12/2020 07:26:01",2020-12-27 07:26:01,9.313,87.521
"27/12/2020 08:26:01",2020-12-27 08:26:01,15.063,80.934
"27/12/2020 09:26:01",2020-12-27 09:26:01,13.5,78.938
"27/12/2020 10:26:01",2020-12-27 10:26:01,20.25,60.814
"27/12/2020 11:26:01",2020-12-27 11:26:01,20.688,50.913
"27/12/2020 12:26:01",2020-12-27 12:26:01,17.688,51.951
"27/12/2020 13:26:01",2020-12-27 13:26:01,25,38.737
"27/12/2020 14:26:01",2020-12-27 14:26:01,23.875,39.096
"27/12/2020 15:26:01",2020-12-27 15:26:01,21.813,37.899
"27/12/2020 16:26:01",2020-12-27 16:26:01,15.688,52.989
"27/12/2020 17:26:01",2020-12-27 17:26:01,13.75,64.566
"27/12/2020 18:26:01",2020-12-27 18:26:01,11.938,71.552
"27/12/2020 19:26:01",2020-12-27 19:26:01,11.375,76.103
"27/12/2020 20:26:01",2020-12-27 20:26:01,10.625,79.377
"27/12/2020 21:26:01",2020-12-27 21:26:01,11.313,77.421
"27/12/2020 22:26:01",2020-12-27 22:26:01,10.375,74.906
"27/12/2020 23:26:01",2020-12-27 23:26:01,10,81.493
"28/12/2020 00:26:01",2020-12-28 00:26:01,10.75,82.69
"28/12/2020 01:26:01",2020-12-28 01:26:01,9.25,84.407
"28/12/2020 02:26:01",2020-12-28 02:26:01,8.313,99.697
"28/12/2020 03:26:01",2020-12-28 03:26:01,8.375,101.893
"28/12/2020 04:26:01",2020-12-28 04:26:01,8.063,103.729
"28/12/2020 05:26:01",2020-12-28 05:26:01,7.938,103.969
"28/12/2020 06:26:01",2020-12-28 06:26:01,7.688,104.767
"28/12/2020 07:26:01",2020-12-28 07:26:01,8.375,104.008
"28/12/2020 08:26:01",2020-12-28 08:26:01,8.813,103.969
"28/12/2020 09:26:01",2020-12-28 09:26:01,11.938,101.972
"28/12/2020 10:26:01",2020-12-28 10:26:01,11.625,103.37
"28/12/2020 11:26:01",2020-12-28 11:26:01,18.25,97.302
"28/12/2020 12:26:01",2020-12-28 12:26:01,14.688,100.855
"28/12/2020 13:26:01",2020-12-28 13:26:01,11.438,103.45
"28/12/2020 14:26:01",2020-12-28 14:26:01,13.188,103.13
"28/12/2020 15:26:01",2020-12-28 15:26:01,9.688,104.687
"28/12/2020 16:26:01",2020-12-28 16:26:01,8,106.803
"28/12/2020 17:26:01",2020-12-28 17:26:01,7.563,106.084
"28/12/2020 18:26:01",2020-12-28 18:26:01,7.938,107.242
"28/12/2020 19:26:01",2020-12-28 19:26:01,7.938,107.042
"28/12/2020 20:26:01",2020-12-28 20:26:01,6.063,109.398
"28/12/2020 21:26:01",2020-12-28 21:26:01,6.063,108.36
"28/12/2020 22:26:01",2020-12-28 22:26:01,5.813,108.2
"28/12/2020 23:26:01",2020-12-28 23:26:01,5.125,109.597
"29/12/2020 00:26:01",2020-12-29 00:26:01,4.875,108.839
"29/12/2020 01:26:01",2020-12-29 01:26:01,4.563,109.118
"29/12/2020 02:26:01",2020-12-29 02:26:01,4.75,109.198
"29/12/2020 03:26:01",2020-12-29 03:26:01,4.438,109.518
"29/12/2020 04:26:01",2020-12-29 04:26:01,3.938,110.795
"29/12/2020 05:26:01",2020-12-29 05:26:01,3.375,109.637
"29/12/2020 06:26:01",2020-12-29 06:26:01,3.313,109.837
"29/12/2020 07:26:01",2020-12-29 07:26:01,4,109.597
"29/12/2020 08:26:01",2020-12-29 08:26:01,5.438,108.799
"29/12/2020 09:26:01",2020-12-29 09:26:01,7.375,107.322
"29/12/2020 10:26:01",2020-12-29 10:26:01,17.188,100.815
"29/12/2020 11:26:01",2020-12-29 11:26:01,18.875,99.178
"29/12/2020 12:26:01",2020-12-29 12:26:01,19.438,98.938
"29/12/2020 13:26:01",2020-12-29 13:26:01,18,101.134
"29/12/2020 14:26:01",2020-12-29 14:26:01,16.25,103.13
"29/12/2020 15:26:01",2020-12-29 15:26:01,13.75,105.525
"29/12/2020 16:26:01",2020-12-29 16:26:01,10.75,105.805
"29/12/2020 17:26:01",2020-12-29 17:26:01,7.813,108.639
"29/12/2020 18:26:01",2020-12-29 18:26:01,6.188,109.637
"29/12/2020 19:26:01",2020-12-29 19:26:01,6.25,109.318
"29/12/2020 20:26:01",2020-12-29 20:26:01,6.563,108.839
