"ReadingOriginal","ReadingStand","Values","Humidity"
"22/12/2020 14:21:01",2020-12-22 14:21:01,26.313,17.778
"22/12/2020 15:21:01",2020-12-22 15:21:01,24.313,20.573
"22/12/2020 16:21:01",2020-12-22 16:21:01,15.688,49.915
"22/12/2020 17:21:01",2020-12-22 17:21:01,9.938,77.501
"22/12/2020 18:21:01",2020-12-22 18:21:01,9.125,88.679
"22/12/2020 19:21:01",2020-12-22 19:21:01,6.375,89.238
"22/12/2020 20:21:01",2020-12-22 20:21:01,5.063,91.393
"22/12/2020 21:21:01",2020-12-22 21:21:01,8.188,90.794
"22/12/2020 22:21:01",2020-12-22 22:21:01,8.563,92.87
"22/12/2020 23:21:01",2020-12-22 23:21:01,6.5,94.587
"23/12/2020 00:21:01",2020-12-23 00:21:01,4.75,99.737
"23/12/2020 01:21:01",2020-12-23 01:21:01,2.5,102.531
"23/12/2020 02:21:01",2020-12-23 02:21:01,1.75,104.248
"23/12/2020 03:21:01",2020-12-23 03:21:01,2.438,103.849
"23/12/2020 04:21:01",2020-12-23 04:21:01,4.063,102.332
"23/12/2020 05:21:01",2020-12-23 05:21:01,7.063,103.33
"23/12/2020 06:21:01",2020-12-23 06:21:01,3.25,107.442
"23/12/2020 07:21:01",2020-12-23 07:21:01,7.188,105.925
"23/12/2020 08:21:01",2020-12-23 08:21:01,10.5,103.25
"23/12/2020 09:21:01",2020-12-23 09:21:01,13.625,86.283
"23/12/2020 10:21:01",2020-12-23 10:21:01,19.625,17.858
"23/12/2020 11:21:01",2020-12-23 11:21:01,26.125,6.56
"23/12/2020 12:21:01",2020-12-23 12:21:01,24.75,5.363
"23/12/2020 13:21:01",2020-12-23 13:21:01,23.375,4.604
"23/12/2020 14:21:01",2020-12-23 14:21:01,22.563,4.604
"23/12/2020 15:21:01",2020-12-23 15:21:01,18.75,5.882
"23/12/2020 16:21:01",2020-12-23 16:21:01,16,6.56
"23/12/2020 17:21:01",2020-12-23 17:21:01,14.563,7.279
"23/12/2020 18:21:01",2020-12-23 18:21:01,14.813,6.002
"23/12/2020 19:21:01",2020-12-23 19:21:01,14,6.481
"23/12/2020 20:21:01",2020-12-23 20:21:01,13.438,6.72
"23/12/2020 21:21:01",2020-12-23 21:21:01,13.25,7.678
"23/12/2020 22:21:01",2020-12-23 22:21:01,13.5,6.041
"23/12/2020 23:21:01",2020-12-23 23:21:01,13.063,5.922
"24/12/2020 00:21:01",2020-12-24 00:21:01,12,6.041
"24/12/2020 01:21:01",2020-12-24 01:21:01,12.625,6.401
"24/12/2020 02:21:01",2020-12-24 02:21:01,12.625,5.602
"24/12/2020 03:21:01",2020-12-24 03:21:01,12.313,6.64
"24/12/2020 04:21:01",2020-12-24 04:21:01,12.75,5.762
"24/12/2020 05:21:01",2020-12-24 05:21:01,12.063,6.52
"24/12/2020 06:21:01",2020-12-24 06:21:01,13.125,4.804
"24/12/2020 07:21:01",2020-12-24 07:21:01,10.938,6.76
"24/12/2020 08:21:01",2020-12-24 08:21:01,13.563,6.76
"24/12/2020 09:21:01",2020-12-24 09:21:01,13.5,7.638
"24/12/2020 10:21:01",2020-12-24 10:21:01,16.063,6.6
"24/12/2020 11:21:01",2020-12-24 11:21:01,14.875,12.509
"24/12/2020 12:21:01",2020-12-24 12:21:01,20.125,6.081
"24/12/2020 13:21:01",2020-12-24 13:21:01,19.063,6.041
"24/12/2020 14:21:01",2020-12-24 14:21:01,16.125,8.317
"24/12/2020 15:21:01",2020-12-24 15:21:01,10.25,58.179
"24/12/2020 16:21:01",2020-12-24 16:21:01,12.125,35.663
"24/12/2020 17:21:01",2020-12-24 17:21:01,14.563,29.555
"24/12/2020 18:21:01",2020-12-24 18:21:01,14,31.751
"24/12/2020 19:21:01",2020-12-24 19:21:01,14.188,31.631
"24/12/2020 20:21:01",2020-12-24 20:21:01,12.063,38.018
"24/12/2020 21:21:01",2020-12-24 21:21:01,12.125,37.939
"24/12/2020 22:21:01",2020-12-24 22:21:01,8.438,39.935
"24/12/2020 23:21:01",2020-12-24 23:21:01,6.938,46.562
"25/12/2020 00:21:01",2020-12-25 00:21:01,5.875,53.708
"25/12/2020 01:21:01",2020-12-25 01:21:01,5.938,61.612
"25/12/2020 02:21:01",2020-12-25 02:21:01,5.875,60.814
"25/12/2020 03:21:01",2020-12-25 03:21:01,5.063,62.011
"25/12/2020 04:21:01",2020-12-25 04:21:01,5.125,57.979
"25/12/2020 05:21:01",2020-12-25 05:21:01,10.313,39.935
"25/12/2020 06:21:01",2020-12-25 06:21:01,9.25,44.286
"25/12/2020 07:21:01",2020-12-25 07:21:01,7.875,47.2
"25/12/2020 08:21:01",2020-12-25 08:21:01,7.688,52.43
"25/12/2020 09:21:01",2020-12-25 09:21:01,24.25,20.333
"25/12/2020 10:21:01",2020-12-25 10:21:01,28.438,12.948
"25/12/2020 11:21:01",2020-12-25 11:21:01,34,9.036
"25/12/2020 12:21:01",2020-12-25 12:21:01,34.563,5.602
"25/12/2020 13:21:01",2020-12-25 13:21:01,34.063,5.762
"25/12/2020 14:21:01",2020-12-25 14:21:01,31.438,8.237
"25/12/2020 15:21:01",2020-12-25 15:21:01,25.75,12.149
"25/12/2020 16:21:01",2020-12-25 16:21:01,19.625,25.643
"25/12/2020 17:21:01",2020-12-25 17:21:01,10.5,48.039
"25/12/2020 18:21:01",2020-12-25 18:21:01,10.875,43.168
"25/12/2020 19:21:01",2020-12-25 19:21:01,8.75,53.907
"25/12/2020 20:21:01",2020-12-25 20:21:01,7.125,58.937
"25/12/2020 21:21:01",2020-12-25 21:21:01,6.438,61.772
"25/12/2020 22:21:01",2020-12-25 22:21:01,6.063,60.494
"25/12/2020 23:21:01",2020-12-25 23:21:01,5.75,59.576
"26/12/2020 00:21:01",2020-12-26 00:21:01,5.938,61.652
"26/12/2020 01:21:01",2020-12-26 01:21:01,6.063,63.488
"26/12/2020 02:21:01",2020-12-26 02:21:01,7.313,64.925
"26/12/2020 03:21:01",2020-12-26 03:21:01,3.625,73.469
"26/12/2020 04:21:01",2020-12-26 04:21:01,4.063,73.788
