"ReadingOriginal","ReadingStand","Values","Humidity"
"23/06/2021 02:04:01",2021-06-23 02:04:01,16.688,68.878
"23/06/2021 03:04:01",2021-06-23 03:04:01,15.188,74.427
"23/06/2021 04:04:01",2021-06-23 04:04:01,15.438,76.183
"23/06/2021 05:04:01",2021-06-23 05:04:01,15.063,77.62
"23/06/2021 06:04:01",2021-06-23 06:04:01,18.563,74.067
"23/06/2021 07:04:01",2021-06-23 07:04:01,20.688,65.844
"23/06/2021 08:04:01",2021-06-23 08:04:01,25.25,56.502
"23/06/2021 09:04:01",2021-06-23 09:04:01,24.875,58.338
"23/06/2021 10:04:01",2021-06-23 10:04:01,22.563,57.42
"23/06/2021 11:04:01",2021-06-23 11:04:01,22.563,56.502
"23/06/2021 12:04:01",2021-06-23 12:04:01,22.5,56.263
"23/06/2021 13:04:01",2021-06-23 13:04:01,22.438,56.462
"23/06/2021 14:04:01",2021-06-23 14:04:01,22.438,55.424
"23/06/2021 15:04:01",2021-06-23 15:04:01,22.5,55.105
"23/06/2021 16:04:01",2021-06-23 16:04:01,22.5,53.508
"23/06/2021 17:04:01",2021-06-23 17:04:01,22.25,53.508
"23/06/2021 18:04:01",2021-06-23 18:04:01,22.438,53.907
"23/06/2021 19:04:01",2021-06-23 19:04:01,22.438,54.107
"23/06/2021 20:04:01",2021-06-23 20:04:01,22.375,54.306
"23/06/2021 21:04:01",2021-06-23 21:04:01,22.375,54.666
"23/06/2021 22:04:01",2021-06-23 22:04:01,22.313,54.266
"23/06/2021 23:04:01",2021-06-23 23:04:01,22.313,54.745
"24/06/2021 00:04:01",2021-06-24 00:04:01,22.313,54.785
"24/06/2021 01:04:01",2021-06-24 01:04:01,22.313,55.025
"24/06/2021 02:04:01",2021-06-24 02:04:01,22.25,54.865
"24/06/2021 03:04:01",2021-06-24 03:04:01,22.25,55.225
"24/06/2021 04:04:01",2021-06-24 04:04:01,22.188,54.825
"24/06/2021 05:04:01",2021-06-24 05:04:01,22.188,55.185
"24/06/2021 06:04:01",2021-06-24 06:04:01,22.188,55.025
"24/06/2021 07:04:01",2021-06-24 07:04:01,22.25,54.586
"24/06/2021 08:04:01",2021-06-24 08:04:01,22.313,54.346
"24/06/2021 09:04:01",2021-06-24 09:04:01,22.25,53.867
"24/06/2021 10:04:01",2021-06-24 10:04:01,22.25,54.107
"24/06/2021 11:04:01",2021-06-24 11:04:01,22.438,54.985
"24/06/2021 12:04:01",2021-06-24 12:04:01,22.438,54.346
"24/06/2021 13:04:01",2021-06-24 13:04:01,22.375,54.147
"24/06/2021 14:04:01",2021-06-24 14:04:01,22.563,53.228
"24/06/2021 15:04:01",2021-06-24 15:04:01,22.875,54.666
"24/06/2021 16:04:01",2021-06-24 16:04:01,29.688,39.376
"24/06/2021 17:04:01",2021-06-24 17:04:01,31.063,38.018
"24/06/2021 18:04:01",2021-06-24 18:04:01,31.625,36.541
"24/06/2021 19:04:01",2021-06-24 19:04:01,31.188,35.863
