"ReadingOriginal","ReadingStand","Values","Humidity"
"23/06/2021 01:49:01",2021-06-23 01:49:01,15.5,92.351
"23/06/2021 02:49:01",2021-06-23 02:49:01,13,97.022
"23/06/2021 03:49:01",2021-06-23 03:49:01,14.5,96.823
"23/06/2021 04:49:01",2021-06-23 04:49:01,13.563,96.902
"23/06/2021 05:49:01",2021-06-23 05:49:01,16.563,95.425
"23/06/2021 06:49:01",2021-06-23 06:49:01,19.375,87.76
"23/06/2021 07:49:01",2021-06-23 07:49:01,21.375,77.9
"23/06/2021 08:49:01",2021-06-23 08:49:01,28.188,64.566
"23/06/2021 09:49:01",2021-06-23 09:49:01,22.625,55.783
"23/06/2021 10:49:01",2021-06-23 10:49:01,22.688,57.66
"23/06/2021 11:49:01",2021-06-23 11:49:01,22.563,56.542
"23/06/2021 12:49:01",2021-06-23 12:49:01,22.625,56.901
"23/06/2021 13:49:01",2021-06-23 13:49:01,22.563,56.861
"23/06/2021 14:49:01",2021-06-23 14:49:01,22.563,56.502
"23/06/2021 15:49:01",2021-06-23 15:49:01,23.125,51.871
"23/06/2021 16:49:01",2021-06-23 16:49:01,22.563,55.264
"23/06/2021 17:49:01",2021-06-23 17:49:01,22.625,54.706
"23/06/2021 18:49:01",2021-06-23 18:49:01,22.625,54.586
"23/06/2021 19:49:01",2021-06-23 19:49:01,22.625,54.546
"23/06/2021 20:49:01",2021-06-23 20:49:01,22.563,55.304
"23/06/2021 21:49:01",2021-06-23 21:49:01,22.563,55.264
"23/06/2021 22:49:01",2021-06-23 22:49:01,22.563,55.624
"23/06/2021 23:49:01",2021-06-23 23:49:01,22.563,55.624
"24/06/2021 00:49:01",2021-06-24 00:49:01,22.5,55.823
"24/06/2021 01:49:01",2021-06-24 01:49:01,22.5,56.023
"24/06/2021 02:49:01",2021-06-24 02:49:01,22.5,55.185
"24/06/2021 03:49:01",2021-06-24 03:49:01,22.5,54.985
"24/06/2021 04:49:01",2021-06-24 04:49:01,22.438,55.983
"24/06/2021 05:49:01",2021-06-24 05:49:01,22.438,56.023
"24/06/2021 06:49:01",2021-06-24 06:49:01,22.5,55.145
"24/06/2021 07:49:01",2021-06-24 07:49:01,22.563,55.185
"24/06/2021 08:49:01",2021-06-24 08:49:01,22.563,55.145
"24/06/2021 09:49:01",2021-06-24 09:49:01,22.5,54.706
"24/06/2021 10:49:01",2021-06-24 10:49:01,22.688,54.985
"24/06/2021 11:49:01",2021-06-24 11:49:01,22.563,55.424
"24/06/2021 12:49:01",2021-06-24 12:49:01,22.563,55.065
"24/06/2021 13:49:01",2021-06-24 13:49:01,22.625,53.907
"24/06/2021 14:49:01",2021-06-24 14:49:01,22.75,54.187
"24/06/2021 15:49:01",2021-06-24 15:49:01,30.438,42.929
"24/06/2021 16:49:01",2021-06-24 16:49:01,31,40.573
"24/06/2021 17:49:01",2021-06-24 17:49:01,31.625,37.899
"24/06/2021 18:49:01",2021-06-24 18:49:01,31.563,37.499
"24/06/2021 19:49:01",2021-06-24 19:49:01,30.938,36.581
"24/06/2021 20:49:01",2021-06-24 20:49:01,30.188,36.781
"24/06/2021 21:49:01",2021-06-24 21:49:01,29.5,37.659
"24/06/2021 22:49:01",2021-06-24 22:49:01,28.813,38.018
"24/06/2021 23:49:01",2021-06-24 23:49:01,28.188,38.018
"25/06/2021 00:49:01",2021-06-25 00:49:01,27.688,38.418
"25/06/2021 01:49:01",2021-06-25 01:49:01,27.188,39.575
"25/06/2021 02:49:01",2021-06-25 02:49:01,26.688,39.935
"25/06/2021 03:49:01",2021-06-25 03:49:01,26.25,40.174
"25/06/2021 04:49:01",2021-06-25 04:49:01,25.875,40.653
"25/06/2021 05:49:01",2021-06-25 05:49:01,25.5,41.212
"25/06/2021 06:49:01",2021-06-25 06:49:01,25.188,42.17
"25/06/2021 07:49:01",2021-06-25 07:49:01,25.125,46.162
"25/06/2021 08:49:01",2021-06-25 08:49:01,28.563,42.769
"25/06/2021 09:49:01",2021-06-25 09:49:01,34.5,32.27
"25/06/2021 10:49:01",2021-06-25 10:49:01,40,23.208
"25/06/2021 11:49:01",2021-06-25 11:49:01,43.5,18.696
"25/06/2021 12:49:01",2021-06-25 12:49:01,45.5,15.623
"25/06/2021 13:49:01",2021-06-25 13:49:01,47.75,13.387
"25/06/2021 14:49:01",2021-06-25 14:49:01,47.125,13.587
"25/06/2021 15:49:01",2021-06-25 15:49:01,44.25,14.664
"25/06/2021 16:49:01",2021-06-25 16:49:01,40.375,16.301
"25/06/2021 17:49:01",2021-06-25 17:49:01,29.5,27.519
"25/06/2021 18:49:01",2021-06-25 18:49:01,23.375,39.096
"25/06/2021 19:49:01",2021-06-25 19:49:01,18.438,46.362
"25/06/2021 20:49:01",2021-06-25 20:49:01,16.25,50.594
"25/06/2021 21:49:01",2021-06-25 21:49:01,14.75,54.506
"25/06/2021 22:49:01",2021-06-25 22:49:01,13.313,58.857
"25/06/2021 23:49:01",2021-06-25 23:49:01,12.313,62.171
"26/06/2021 00:49:01",2021-06-26 00:49:01,11.875,63.688
"26/06/2021 01:49:01",2021-06-26 01:49:01,11,67.121
"26/06/2021 02:49:01",2021-06-26 02:49:01,10.563,69.476
"26/06/2021 03:49:01",2021-06-26 03:49:01,10.063,71.473
"26/06/2021 04:49:01",2021-06-26 04:49:01,9.813,73.668
"26/06/2021 05:49:01",2021-06-26 05:49:01,10.688,74.107
"26/06/2021 06:49:01",2021-06-26 06:49:01,16.5,74.307
"26/06/2021 07:49:01",2021-06-26 07:49:01,21.75,63.049
"26/06/2021 08:49:01",2021-06-26 08:49:01,27.25,48.119
"26/06/2021 09:49:01",2021-06-26 09:49:01,34.75,32.909
"26/06/2021 10:49:01",2021-06-26 10:49:01,40.813,23.447
"26/06/2021 11:49:01",2021-06-26 11:49:01,45.25,17.499
"26/06/2021 12:49:01",2021-06-26 12:49:01,47.313,13.786
"26/06/2021 13:49:01",2021-06-26 13:49:01,48.813,13.108
"26/06/2021 14:49:01",2021-06-26 14:49:01,46.875,13.267
"26/06/2021 15:49:01",2021-06-26 15:49:01,45.25,14.545
"26/06/2021 16:49:01",2021-06-26 16:49:01,40.813,18.138
"26/06/2021 17:49:01",2021-06-26 17:49:01,30.5,29.795
"26/06/2021 18:49:01",2021-06-26 18:49:01,24.375,42.09
"26/06/2021 19:49:01",2021-06-26 19:49:01,20.625,49.596
"26/06/2021 20:49:01",2021-06-26 20:49:01,18.5,52.23
"26/06/2021 21:49:01",2021-06-26 21:49:01,17,57.819
"26/06/2021 22:49:01",2021-06-26 22:49:01,15.875,57.38
"26/06/2021 23:49:01",2021-06-26 23:49:01,15.438,61.053
"27/06/2021 00:49:01",2021-06-27 00:49:01,14.625,63.768
"27/06/2021 01:49:01",2021-06-27 01:49:01,13.938,66.243
"27/06/2021 02:49:01",2021-06-27 02:49:01,13.188,69.117
"27/06/2021 03:49:01",2021-06-27 03:49:01,13.125,71.672
"27/06/2021 04:49:01",2021-06-27 04:49:01,14.063,73.069
"27/06/2021 05:49:01",2021-06-27 05:49:01,14.125,75.624
"27/06/2021 06:49:01",2021-06-27 06:49:01,19.063,72.311
"27/06/2021 07:49:01",2021-06-27 07:49:01,24,61.452
