"ReadingOriginal","ReadingStand","Values","Humidity"
"23/06/2021 01:26:01",2021-06-23 01:26:01,16.25,86.044
"23/06/2021 02:26:01",2021-06-23 02:26:01,15.375,88.04
"23/06/2021 03:26:01",2021-06-23 03:26:01,15.625,87.122
"23/06/2021 04:26:01",2021-06-23 04:26:01,15.563,89.717
"23/06/2021 05:26:01",2021-06-23 05:26:01,16.938,89.238
"23/06/2021 06:26:01",2021-06-23 06:26:01,21.375,76.942
"23/06/2021 07:26:01",2021-06-23 07:26:01,21.75,68.359
"23/06/2021 08:26:01",2021-06-23 08:26:01,25.125,62.77
"23/06/2021 09:26:01",2021-06-23 09:26:01,22.938,51.632
"23/06/2021 10:26:01",2021-06-23 10:26:01,22.75,54.266
"23/06/2021 11:26:01",2021-06-23 11:26:01,22.688,54.586
"23/06/2021 12:26:01",2021-06-23 12:26:01,22.75,54.785
"23/06/2021 13:26:01",2021-06-23 13:26:01,22.625,54.426
"23/06/2021 14:26:01",2021-06-23 14:26:01,22.688,54.466
"23/06/2021 15:26:01",2021-06-23 15:26:01,22.75,54.306
"23/06/2021 16:26:01",2021-06-23 16:26:01,22.688,52.709
"23/06/2021 17:26:01",2021-06-23 17:26:01,22.688,53.029
"23/06/2021 18:26:01",2021-06-23 18:26:01,22.75,52.191
"23/06/2021 19:26:01",2021-06-23 19:26:01,22.688,53.029
"23/06/2021 20:26:01",2021-06-23 20:26:01,22.688,53.109
"23/06/2021 21:26:01",2021-06-23 21:26:01,22.625,53.109
"23/06/2021 22:26:01",2021-06-23 22:26:01,22.625,53.109
"23/06/2021 23:26:01",2021-06-23 23:26:01,22.625,53.428
"24/06/2021 00:26:01",2021-06-24 00:26:01,22.625,53.109
"24/06/2021 01:26:01",2021-06-24 01:26:01,22.563,53.189
"24/06/2021 02:26:01",2021-06-24 02:26:01,22.563,53.747
"24/06/2021 03:26:01",2021-06-24 03:26:01,22.563,53.388
"24/06/2021 04:26:01",2021-06-24 04:26:01,22.5,53.588
"24/06/2021 05:26:01",2021-06-24 05:26:01,22.5,54.306
"24/06/2021 06:26:01",2021-06-24 06:26:01,22.5,53.268
"24/06/2021 07:26:01",2021-06-24 07:26:01,22.563,53.907
"24/06/2021 08:26:01",2021-06-24 08:26:01,22.688,52.989
"24/06/2021 09:26:01",2021-06-24 09:26:01,22.625,53.109
"24/06/2021 10:26:01",2021-06-24 10:26:01,22.688,52.989
"24/06/2021 11:26:01",2021-06-24 11:26:01,22.563,53.029
"24/06/2021 12:26:01",2021-06-24 12:26:01,22.75,52.869
"24/06/2021 13:26:01",2021-06-24 13:26:01,22.75,52.829
"24/06/2021 14:26:01",2021-06-24 14:26:01,22.875,51.911
"24/06/2021 15:26:01",2021-06-24 15:26:01,28.125,43.288
"24/06/2021 16:26:01",2021-06-24 16:26:01,30.813,40.054
"24/06/2021 17:26:01",2021-06-24 17:26:01,31.75,37.859
"24/06/2021 18:26:01",2021-06-24 18:26:01,31.813,35.264
"24/06/2021 19:26:01",2021-06-24 19:26:01,31.125,34.585
"24/06/2021 20:26:01",2021-06-24 20:26:01,30.313,34.545
"24/06/2021 21:26:01",2021-06-24 21:26:01,29.563,35.583
"24/06/2021 22:26:01",2021-06-24 22:26:01,28.875,36.382
"24/06/2021 23:26:01",2021-06-24 23:26:01,28.25,36.462
"25/06/2021 00:26:01",2021-06-25 00:26:01,27.688,37.18
"25/06/2021 01:26:01",2021-06-25 01:26:01,27.188,38.418
"25/06/2021 02:26:01",2021-06-25 02:26:01,26.75,38.537
"25/06/2021 03:26:01",2021-06-25 03:26:01,26.313,39.615
"25/06/2021 04:26:01",2021-06-25 04:26:01,25.938,39.775
"25/06/2021 05:26:01",2021-06-25 05:26:01,25.563,40.334
"25/06/2021 06:26:01",2021-06-25 06:26:01,25.25,40.214
"25/06/2021 07:26:01",2021-06-25 07:26:01,25.375,42.849
"25/06/2021 08:26:01",2021-06-25 08:26:01,32.813,31.352
"25/06/2021 09:26:01",2021-06-25 09:26:01,37.813,21.491
"25/06/2021 10:26:01",2021-06-25 10:26:01,45.875,11.91
"25/06/2021 11:26:01",2021-06-25 11:26:01,49.938,9.754
"25/06/2021 12:26:01",2021-06-25 12:26:01,51.875,8.517
"25/06/2021 13:26:01",2021-06-25 13:26:01,49.688,8.796
"25/06/2021 14:26:01",2021-06-25 14:26:01,54,5.722
"25/06/2021 15:26:01",2021-06-25 15:26:01,52.938,6.64
"25/06/2021 16:26:01",2021-06-25 16:26:01,48.75,7.918
"25/06/2021 17:26:01",2021-06-25 17:26:01,41.875,11.79
