"ReadingOriginal","ReadingStand","Values","Humidity"
"23/06/2021 01:27:01",2021-06-23 01:27:01,17.188,79.257
"23/06/2021 02:27:01",2021-06-23 02:27:01,16.188,84.407
"23/06/2021 03:27:01",2021-06-23 03:27:01,16.125,85.804
"23/06/2021 04:27:01",2021-06-23 04:27:01,16,87.122
"23/06/2021 05:27:01",2021-06-23 05:27:01,17.375,85.645
"23/06/2021 06:27:01",2021-06-23 06:27:01,22,73.389
"23/06/2021 07:27:01",2021-06-23 07:27:01,21.375,67.72
"23/06/2021 08:27:01",2021-06-23 08:27:01,25.375,62.929
"23/06/2021 09:27:01",2021-06-23 09:27:01,22.75,55.344
"23/06/2021 10:27:01",2021-06-23 10:27:01,22.625,55.983
"23/06/2021 11:27:01",2021-06-23 11:27:01,22.5,55.384
"23/06/2021 12:27:01",2021-06-23 12:27:01,22.625,55.704
"23/06/2021 13:27:01",2021-06-23 13:27:01,22.438,55.264
"23/06/2021 14:27:01",2021-06-23 14:27:01,22.5,55.185
"23/06/2021 15:27:01",2021-06-23 15:27:01,25.25,46.522
"23/06/2021 16:27:01",2021-06-23 16:27:01,22.625,53.308
"23/06/2021 17:27:01",2021-06-23 17:27:01,22.5,54.067
"23/06/2021 18:27:01",2021-06-23 18:27:01,22.563,53.867
"23/06/2021 19:27:01",2021-06-23 19:27:01,22.563,54.187
"23/06/2021 20:27:01",2021-06-23 20:27:01,22.5,54.346
"23/06/2021 21:27:01",2021-06-23 21:27:01,22.5,54.266
"23/06/2021 22:27:01",2021-06-23 22:27:01,22.5,53.947
"23/06/2021 23:27:01",2021-06-23 23:27:01,22.5,54.266
"24/06/2021 00:27:01",2021-06-24 00:27:01,22.438,54.346
"24/06/2021 01:27:01",2021-06-24 01:27:01,22.438,54.586
"24/06/2021 02:27:01",2021-06-24 02:27:01,22.438,54.506
"24/06/2021 03:27:01",2021-06-24 03:27:01,22.375,54.706
"24/06/2021 04:27:01",2021-06-24 04:27:01,22.375,54.945
"24/06/2021 05:27:01",2021-06-24 05:27:01,22.375,54.706
"24/06/2021 06:27:01",2021-06-24 06:27:01,22.375,54.386
"24/06/2021 07:27:01",2021-06-24 07:27:01,22.438,54.865
