"ReadingOriginal","ReadingStand","Values","Humidity"
"4/4/2022 2:21",2022-04-04 02:21:00,11.813,104.967
"4/4/2022 3:21",2022-04-04 03:21:00,11.938,104.927
"4/4/2022 4:21",2022-04-04 04:21:00,11.813,105.805
"4/4/2022 5:21",2022-04-04 05:21:00,11.438,105.406
"4/4/2022 6:21",2022-04-04 06:21:00,11.625,105.565
"4/4/2022 7:21",2022-04-04 07:21:00,13.063,104.328
"4/4/2022 8:21",2022-04-04 08:21:00,15.375,97.661
"4/4/2022 9:21",2022-04-04 09:21:00,18.063,88.599
"4/4/2022 10:21",2022-04-04 10:21:00,22.125,72.71
"4/4/2022 11:21",2022-04-04 11:21:00,26.188,60.853
"4/4/2022 12:21",2022-04-04 12:21:00,33.625,38.777
"4/4/2022 13:21",2022-04-04 13:21:00,36.375,30.234
"4/4/2022 14:21",2022-04-04 14:21:00,37.938,25.802
"4/4/2022 15:21",2022-04-04 15:21:00,34.125,30.912
"4/4/2022 16:21",2022-04-04 16:21:00,26.438,40.653
"4/4/2022 17:21",2022-04-04 17:21:00,20.938,67.959
"4/4/2022 18:21",2022-04-04 18:21:00,16,81.373
"4/4/2022 19:21",2022-04-04 19:21:00,11.25,95.425
"4/4/2022 20:21",2022-04-04 20:21:00,10.125,98.659
"4/4/2022 21:21",2022-04-04 21:21:00,9.188,101.453
"4/4/2022 22:21",2022-04-04 22:21:00,8.063,102.731
"4/4/2022 23:21",2022-04-04 23:21:00,8.313,104.488
"5/4/2022 0:21",2022-04-05 00:21:00,7.313,105.885
"5/4/2022 1:21",2022-04-05 01:21:00,7.063,106.803
"5/4/2022 2:21",2022-04-05 02:21:00,6.875,106.563
"5/4/2022 3:21",2022-04-05 03:21:00,7.125,107.322
"5/4/2022 4:21",2022-04-05 04:21:00,6.75,108.041
"5/4/2022 5:21",2022-04-05 05:21:00,6.313,107.961
"5/4/2022 6:21",2022-04-05 06:21:00,7.188,107.881
"5/4/2022 7:21",2022-04-05 07:21:00,10,107.202
"5/4/2022 8:21",2022-04-05 08:21:00,14.75,103.45
"5/4/2022 9:21",2022-04-05 09:21:00,18.188,101.653
"5/4/2022 10:21",2022-04-05 10:21:00,22.563,87.321
"5/4/2022 11:21",2022-04-05 11:21:00,29.375,46.442
"5/4/2022 12:21",2022-04-05 12:21:00,36.063,32.469
"5/4/2022 13:21",2022-04-05 13:21:00,38.875,26.082
"5/4/2022 14:21",2022-04-05 14:21:00,40.625,21.89
"5/4/2022 15:21",2022-04-05 15:21:00,37.375,26.641
"5/4/2022 16:21",2022-04-05 16:21:00,35.563,28.357
"5/4/2022 17:21",2022-04-05 17:21:00,26.188,46.522
"5/4/2022 18:21",2022-04-05 18:21:00,17.063,74.467
"5/4/2022 19:21",2022-04-05 19:21:00,13.125,90.555
"5/4/2022 20:21",2022-04-05 20:21:00,11.813,95.226
"5/4/2022 21:21",2022-04-05 21:21:00,11.188,98.779
"5/4/2022 22:21",2022-04-05 22:21:00,10.563,99.857
"5/4/2022 23:21",2022-04-05 23:21:00,10.313,101.933
"6/4/2022 0:21",2022-04-06 00:21:00,9.625,103.41
"6/4/2022 1:21",2022-04-06 01:21:00,8.688,104.288
"6/4/2022 2:21",2022-04-06 02:21:00,8.813,105.046
"6/4/2022 3:21",2022-04-06 03:21:00,9,106.084
"6/4/2022 4:21",2022-04-06 04:21:00,8.125,108.12
"6/4/2022 5:21",2022-04-06 05:21:00,7.938,106.164
"6/4/2022 6:21",2022-04-06 06:21:00,9,108.16
"6/4/2022 7:21",2022-04-06 07:21:00,12.5,103.969
"6/4/2022 8:21",2022-04-06 08:21:00,17.063,100.495
"6/4/2022 9:21",2022-04-06 09:21:00,21.063,93.629
"6/4/2022 10:21",2022-04-06 10:21:00,27.5,63.808
"6/4/2022 11:21",2022-04-06 11:21:00,34.313,37.3
"6/4/2022 12:21",2022-04-06 12:21:00,41.375,23.727
"6/4/2022 13:21",2022-04-06 13:21:00,45.438,19.295
"6/4/2022 14:21",2022-04-06 14:21:00,45.438,18.856
"6/4/2022 15:21",2022-04-06 15:21:00,42.188,20.812
"6/4/2022 16:21",2022-04-06 16:21:00,41.313,21.411
"6/4/2022 17:21",2022-04-06 17:21:00,31.813,37.899
"6/4/2022 18:21",2022-04-06 18:21:00,21.125,69.317
"6/4/2022 19:21",2022-04-06 19:21:00,15.563,87.321
"6/4/2022 20:21",2022-04-06 20:21:00,14.5,93.27
"6/4/2022 21:21",2022-04-06 21:21:00,12.75,96.543
"6/4/2022 22:21",2022-04-06 22:21:00,12.313,98.22
"6/4/2022 23:21",2022-04-06 23:21:00,12.063,92.232
"7/4/2022 0:21",2022-04-07 00:21:00,10.188,94.747
"7/4/2022 1:21",2022-04-07 01:21:00,12.688,69.077
"7/4/2022 2:21",2022-04-07 02:21:00,13.875,47.36
"7/4/2022 3:21",2022-04-07 03:21:00,13.438,53.468
"7/4/2022 4:21",2022-04-07 04:21:00,17.313,27.679
"7/4/2022 5:21",2022-04-07 05:21:00,18.313,20.413
"7/4/2022 6:21",2022-04-07 06:21:00,18.313,21.331
"7/4/2022 7:21",2022-04-07 07:21:00,20.25,19.934
"7/4/2022 8:21",2022-04-07 08:21:00,23.5,17.339
"7/4/2022 9:21",2022-04-07 09:21:00,27.313,16.98
"7/4/2022 10:21",2022-04-07 10:21:00,32.563,15.143
"7/4/2022 11:21",2022-04-07 11:21:00,36.875,11.311
"7/4/2022 12:21",2022-04-07 12:21:00,42.375,8.596
"7/4/2022 13:21",2022-04-07 13:21:00,48.688,5.123
"7/4/2022 14:21",2022-04-07 14:21:00,48.5,4.484
"7/4/2022 15:21",2022-04-07 15:21:00,44.438,5.882
"7/4/2022 16:21",2022-04-07 16:21:00,42.313,6.68
"7/4/2022 17:21",2022-04-07 17:21:00,33.188,9.954
"7/4/2022 18:21",2022-04-07 18:21:00,24.25,17.619
"7/4/2022 19:21",2022-04-07 19:21:00,23.125,13.187
"7/4/2022 20:21",2022-04-07 20:21:00,22.313,13.307
"7/4/2022 21:21",2022-04-07 21:21:00,20.813,16.7
"7/4/2022 22:21",2022-04-07 22:21:00,19.938,17.1
"7/4/2022 23:21",2022-04-07 23:21:00,17.75,25.323
"8/4/2022 0:21",2022-04-08 00:21:00,17.875,23.647
"8/4/2022 1:21",2022-04-08 01:21:00,17.625,23.048
"8/4/2022 2:21",2022-04-08 02:21:00,15.5,33.707
"8/4/2022 3:21",2022-04-08 03:21:00,16.125,29.316
"8/4/2022 4:21",2022-04-08 04:21:00,19.5,16.661
"8/4/2022 5:21",2022-04-08 05:21:00,17.688,21.651
"8/4/2022 6:21",2022-04-08 06:21:00,19.563,19.375
"8/4/2022 7:21",2022-04-08 07:21:00,20.5,22.329
"8/4/2022 8:21",2022-04-08 08:21:00,24.313,21.691
"8/4/2022 9:21",2022-04-08 09:21:00,30.125,13.906
"8/4/2022 10:21",2022-04-08 10:21:00,36.25,9.594
"8/4/2022 11:21",2022-04-08 11:21:00,41.563,9.315
"8/4/2022 12:21",2022-04-08 12:21:00,47.438,4.884
"8/4/2022 13:21",2022-04-08 13:21:00,51.5,2.688
"8/4/2022 14:21",2022-04-08 14:21:00,50.563,2.928
"8/4/2022 15:21",2022-04-08 15:21:00,50.375,1.77
"8/4/2022 16:21",2022-04-08 16:21:00,47.375,2.448
"8/4/2022 17:21",2022-04-08 17:21:00,37.25,6.52
"8/4/2022 18:21",2022-04-08 18:21:00,23.688,30.354
