"ReadingOriginal","ReadingStand","Values","Humidity"
"4/4/2022 2:04",2022-04-04 02:04:00,11.813,104.647
"4/4/2022 3:04",2022-04-04 03:04:00,11.688,104.448
"4/4/2022 4:04",2022-04-04 04:04:00,11.563,104.368
"4/4/2022 5:04",2022-04-04 05:04:00,11.5,104.967
"4/4/2022 6:04",2022-04-04 06:04:00,11.25,105.126
"4/4/2022 7:04",2022-04-04 07:04:00,12.313,105.126
"4/4/2022 8:04",2022-04-04 08:04:00,14.375,103.41
"4/4/2022 9:04",2022-04-04 09:04:00,16.063,100.695
"4/4/2022 10:04",2022-04-04 10:04:00,19.063,93.03
"4/4/2022 11:04",2022-04-04 11:04:00,30.25,59.536
"4/4/2022 12:04",2022-04-04 12:04:00,31.25,43.128
"4/4/2022 13:04",2022-04-04 13:04:00,33.25,34.905
"4/4/2022 14:04",2022-04-04 14:04:00,34.313,32.509
"4/4/2022 15:04",2022-04-04 15:04:00,29.813,41.971
"4/4/2022 16:04",2022-04-04 16:04:00,24.875,50.953
"4/4/2022 17:04",2022-04-04 17:04:00,18.813,69.676
"4/4/2022 18:04",2022-04-04 18:04:00,16.438,79.936
"4/4/2022 19:04",2022-04-04 19:04:00,11.375,90.595
"4/4/2022 20:04",2022-04-04 20:04:00,9.875,95.944
"4/4/2022 21:04",2022-04-04 21:04:00,9,98.819
"4/4/2022 22:04",2022-04-04 22:04:00,7.625,100.296
"4/4/2022 23:04",2022-04-04 23:04:00,8.125,102.252
"5/4/2022 0:04",2022-04-05 00:04:00,6.5,101.613
"5/4/2022 1:04",2022-04-05 01:04:00,5.813,104.288
"5/4/2022 2:04",2022-04-05 02:04:00,5.625,104.847
"5/4/2022 3:04",2022-04-05 03:04:00,6.25,105.406
"5/4/2022 4:04",2022-04-05 04:04:00,6.5,106.244
"5/4/2022 5:04",2022-04-05 05:04:00,4.875,105.725
"5/4/2022 6:04",2022-04-05 06:04:00,5.125,107.362
"5/4/2022 7:04",2022-04-05 07:04:00,8,105.565
"5/4/2022 8:04",2022-04-05 08:04:00,16.063,99.737
"5/4/2022 9:04",2022-04-05 09:04:00,19.563,97.701
"5/4/2022 10:04",2022-04-05 10:04:00,30.625,57.42
"5/4/2022 11:04",2022-04-05 11:04:00,36.313,28.238
"5/4/2022 12:04",2022-04-05 12:04:00,35.188,31.99
"5/4/2022 13:04",2022-04-05 13:04:00,35.75,28.637
"5/4/2022 14:04",2022-04-05 14:04:00,36.563,28.517
"5/4/2022 15:04",2022-04-05 15:04:00,32.75,34.306
"5/4/2022 16:04",2022-04-05 16:04:00,29.188,40.254
"5/4/2022 17:04",2022-04-05 17:04:00,25,50.194
"5/4/2022 18:04",2022-04-05 18:04:00,18.75,64.886
"5/4/2022 19:04",2022-04-05 19:04:00,13.563,81.613
"5/4/2022 20:04",2022-04-05 20:04:00,11.875,88.08
"5/4/2022 21:04",2022-04-05 21:04:00,10.188,93.709
"5/4/2022 22:04",2022-04-05 22:04:00,9.688,95.825
"5/4/2022 23:04",2022-04-05 23:04:00,9.563,99.178
"6/4/2022 0:04",2022-04-06 00:04:00,8.688,99.976
"6/4/2022 1:04",2022-04-06 01:04:00,7.625,101.972
"6/4/2022 2:04",2022-04-06 02:04:00,7.938,102.132
