"ReadingOriginal","ReadingStand","Values","Humidity"
"4/4/2022 2:27",2022-04-04 02:27:00,12.313,99.777
"4/4/2022 3:27",2022-04-04 03:27:00,12.188,99.737
"4/4/2022 4:27",2022-04-04 04:27:00,12.063,99.936
"4/4/2022 5:27",2022-04-04 05:27:00,11.75,100.176
"4/4/2022 6:27",2022-04-04 06:27:00,11.75,100.695
"4/4/2022 7:27",2022-04-04 07:27:00,13.25,98.699
"4/4/2022 8:27",2022-04-04 08:27:00,16.063,92.272
"4/4/2022 9:27",2022-04-04 09:27:00,18.438,84.327
"4/4/2022 10:27",2022-04-04 10:27:00,25.313,67.6
"4/4/2022 11:27",2022-04-04 11:27:00,37.25,32.909
"4/4/2022 12:27",2022-04-04 12:27:00,41.5,25.323
"4/4/2022 13:27",2022-04-04 13:27:00,40.688,25.284
"4/4/2022 14:27",2022-04-04 14:27:00,36.5,30.793
"4/4/2022 15:27",2022-04-04 15:27:00,32.188,39.096
"4/4/2022 16:27",2022-04-04 16:27:00,24.563,51.272
"4/4/2022 17:27",2022-04-04 17:27:00,21.813,66.642
"4/4/2022 18:27",2022-04-04 18:27:00,17.125,76.263
"4/4/2022 19:27",2022-04-04 19:27:00,13,85.924
"4/4/2022 20:27",2022-04-04 20:27:00,11.75,89.956
"4/4/2022 21:27",2022-04-04 21:27:00,10.938,92.671
"4/4/2022 22:27",2022-04-04 22:27:00,9.688,95.904
"4/4/2022 23:27",2022-04-04 23:27:00,9.875,95.825
"5/4/2022 0:27",2022-04-05 00:27:00,8.813,99.338
"5/4/2022 1:27",2022-04-05 01:27:00,8.375,100.096
"5/4/2022 2:27",2022-04-05 02:27:00,8,100.735
"5/4/2022 3:27",2022-04-05 03:27:00,8.563,99.417
"5/4/2022 4:27",2022-04-05 04:27:00,7.938,99.857
"5/4/2022 5:27",2022-04-05 05:27:00,7.375,102.332
"5/4/2022 6:27",2022-04-05 06:27:00,8.125,102.252
"5/4/2022 7:27",2022-04-05 07:27:00,12.625,98.18
"5/4/2022 8:27",2022-04-05 08:27:00,18.375,88.04
"5/4/2022 9:27",2022-04-05 09:27:00,25,68.399
