"ReadingOriginal","ReadingStand","Values","Humidity"
"4/4/2022 2:25",2022-04-04 02:25:00,12.813,107.082
"4/4/2022 3:25",2022-04-04 03:25:00,12.563,108.08
"4/4/2022 4:25",2022-04-04 04:25:00,12.5,107.282
"4/4/2022 5:25",2022-04-04 05:25:00,12.125,106.763
"4/4/2022 6:25",2022-04-04 06:25:00,12.125,106.803
"4/4/2022 7:25",2022-04-04 07:25:00,13.313,105.486
"4/4/2022 8:25",2022-04-04 08:25:00,15.188,99.378
"4/4/2022 9:25",2022-04-04 09:25:00,17.625,92.631
"4/4/2022 10:25",2022-04-04 10:25:00,21.625,82.132
"4/4/2022 11:25",2022-04-04 11:25:00,28.313,66.243
"4/4/2022 12:25",2022-04-04 12:25:00,30.625,59.496
"4/4/2022 13:25",2022-04-04 13:25:00,31.313,52.789
"4/4/2022 14:25",2022-04-04 14:25:00,30.75,53.588
"4/4/2022 15:25",2022-04-04 15:25:00,28.5,58.698
"4/4/2022 16:25",2022-04-04 16:25:00,24.313,68.558
"4/4/2022 17:25",2022-04-04 17:25:00,20.313,79.177
"4/4/2022 18:25",2022-04-04 18:25:00,17.438,88.24
"4/4/2022 19:25",2022-04-04 19:25:00,13.625,97.262
"4/4/2022 20:25",2022-04-04 20:25:00,12.438,100.974
"4/4/2022 21:25",2022-04-04 21:25:00,11.313,103.569
"4/4/2022 22:25",2022-04-04 22:25:00,10.5,105.925
"4/4/2022 23:25",2022-04-04 23:25:00,10.5,105.925
"5/4/2022 0:25",2022-04-05 00:25:00,9.563,107.961
"5/4/2022 1:25",2022-04-05 01:25:00,9,108.599
"5/4/2022 2:25",2022-04-05 02:25:00,8.688,109.158
"5/4/2022 3:25",2022-04-05 03:25:00,9,109.118
"5/4/2022 4:25",2022-04-05 04:25:00,8.813,108.599
"5/4/2022 5:25",2022-04-05 05:25:00,8.125,108.599
"5/4/2022 6:25",2022-04-05 06:25:00,8.438,110.156
"5/4/2022 7:25",2022-04-05 07:25:00,12.563,103.689
"5/4/2022 8:25",2022-04-05 08:25:00,18.188,90.395
"5/4/2022 9:25",2022-04-05 09:25:00,23.938,75.185
"5/4/2022 10:25",2022-04-05 10:25:00,28.438,61.532
"5/4/2022 11:25",2022-04-05 11:25:00,33.125,49.675
"5/4/2022 12:25",2022-04-05 12:25:00,34.188,46.003
"5/4/2022 13:25",2022-04-05 13:25:00,34.75,43.528
"5/4/2022 14:25",2022-04-05 14:25:00,33.938,44.685
"5/4/2022 15:25",2022-04-05 15:25:00,31.125,49.156
"5/4/2022 16:25",2022-04-05 16:25:00,27.938,56.622
"5/4/2022 17:25",2022-04-05 17:25:00,24.25,65.444
"5/4/2022 18:25",2022-04-05 18:25:00,19.125,77.82
"5/4/2022 19:25",2022-04-05 19:25:00,15.625,87.88
"5/4/2022 20:25",2022-04-05 20:25:00,14.125,91.274
"5/4/2022 21:25",2022-04-05 21:25:00,13.188,94.308
"5/4/2022 22:25",2022-04-05 22:25:00,12.5,94.946
"5/4/2022 23:25",2022-04-05 23:25:00,12.25,96.543
"6/4/2022 0:25",2022-04-06 00:25:00,11.5,99.537
"6/4/2022 1:25",2022-04-06 01:25:00,10.75,101.693
"6/4/2022 2:25",2022-04-06 02:25:00,10.938,102.691
"6/4/2022 3:25",2022-04-06 03:25:00,10.938,102.531
"6/4/2022 4:25",2022-04-06 04:25:00,10.188,103.609
"6/4/2022 5:25",2022-04-06 05:25:00,9.688,104.128
"6/4/2022 6:25",2022-04-06 06:25:00,10.25,104.328
"6/4/2022 7:25",2022-04-06 07:25:00,14.75,95.385
"6/4/2022 8:25",2022-04-06 08:25:00,20.875,82.451
"6/4/2022 9:25",2022-04-06 09:25:00,27.125,66.961
"6/4/2022 10:25",2022-04-06 10:25:00,32.313,52.111
"6/4/2022 11:25",2022-04-06 11:25:00,37.563,40.494
"6/4/2022 12:25",2022-04-06 12:25:00,39.313,37.34
"6/4/2022 13:25",2022-04-06 13:25:00,39.813,35.344
"6/4/2022 14:25",2022-04-06 14:25:00,38.313,37.26
"6/4/2022 15:25",2022-04-06 15:25:00,35.438,41.771
"6/4/2022 16:25",2022-04-06 16:25:00,32.188,48.518
"6/4/2022 17:25",2022-04-06 17:25:00,28.313,57.46
"6/4/2022 18:25",2022-04-06 18:25:00,22.5,72.51
"6/4/2022 19:25",2022-04-06 19:25:00,18.313,82.85
"6/4/2022 20:25",2022-04-06 20:25:00,16.875,86.563
"6/4/2022 21:25",2022-04-06 21:25:00,15.313,90.076
"6/4/2022 22:25",2022-04-06 22:25:00,14.5,92.751
"6/4/2022 23:25",2022-04-06 23:25:00,14.125,92.83
"7/4/2022 0:25",2022-04-07 00:25:00,12.688,94.228
"7/4/2022 1:25",2022-04-07 01:25:00,14.25,87.401
"7/4/2022 2:25",2022-04-07 02:25:00,15.875,73.828
"7/4/2022 3:25",2022-04-07 03:25:00,15.563,71.273
"7/4/2022 4:25",2022-04-07 04:25:00,16.938,52.63
"7/4/2022 5:25",2022-04-07 05:25:00,18.813,32.07
