ReadingOriginal,ReadingStand,Values,Humidity
21/12/2021 04:21:01,12/21/2021 4:21,7.375,86.483
21/12/2021 05:21:01,12/21/2021 5:21,8.125,83.289
21/12/2021 06:21:01,12/21/2021 6:21,7.625,90.635
21/12/2021 07:21:01,12/21/2021 7:21,7.75,89.757
21/12/2021 08:21:01,12/21/2021 8:21,9.5,82.611
21/12/2021 09:21:01,12/21/2021 9:21,13.063,77.62
21/12/2021 10:21:01,12/21/2021 10:21,16.813,60.215
21/12/2021 11:21:01,12/21/2021 11:21,16.188,66.403
21/12/2021 12:21:01,12/21/2021 12:21,17.75,58.698
21/12/2021 13:21:01,12/21/2021 13:21,18.375,71.313
21/12/2021 14:21:01,12/21/2021 14:21,22.5,55.504
21/12/2021 15:21:01,12/21/2021 15:21,20.875,48.119
21/12/2021 16:21:01,12/21/2021 16:21,13.625,68.119
21/12/2021 17:21:01,12/21/2021 17:21,6.938,91.713
21/12/2021 18:21:01,12/21/2021 18:21,6.25,98.419
21/12/2021 19:21:01,12/21/2021 19:21,5.5,97.9
21/12/2021 20:21:01,12/21/2021 20:21,4.625,100.575
21/12/2021 21:21:01,12/21/2021 21:21,4.188,100.416
21/12/2021 22:21:01,12/21/2021 22:21,4.313,99.138
21/12/2021 23:21:01,12/21/2021 23:21,5.063,94.906
22/12/2021 00:21:01,12/22/2021 0:21,5.313,98.779
22/12/2021 01:21:01,12/22/2021 1:21,4.875,101.653
22/12/2021 02:21:01,12/22/2021 2:21,4.938,101.334
22/12/2021 03:21:01,12/22/2021 3:21,5.313,97.701
22/12/2021 04:21:01,12/22/2021 4:21,5.313,99.857
22/12/2021 05:21:01,12/22/2021 5:21,6.375,95.106
22/12/2021 06:21:01,12/22/2021 6:21,3.688,99.976
22/12/2021 07:21:01,12/22/2021 7:21,2.875,101.972
22/12/2021 08:21:01,12/22/2021 8:21,5.875,98.539
22/12/2021 09:21:01,12/22/2021 9:21,7.938,94.308
22/12/2021 10:21:01,12/22/2021 10:21,11.75,83.768
22/12/2021 11:21:01,12/22/2021 11:21,19.813,60.933
22/12/2021 12:21:01,12/22/2021 12:21,22.625,48.677
22/12/2021 13:21:01,12/22/2021 13:21,18.813,49.077
22/12/2021 14:21:01,12/22/2021 14:21,19.5,55.544
22/12/2021 15:21:01,12/22/2021 15:21,15.75,71.393
22/12/2021 16:21:01,12/22/2021 16:21,13.875,79.217
22/12/2021 17:21:01,12/22/2021 17:21,11.5,87.361
22/12/2021 18:21:01,12/22/2021 18:21,10.813,89.078
22/12/2021 19:21:01,12/22/2021 19:21,10,94.148
22/12/2021 20:21:01,12/22/2021 20:21,10.688,94.627
22/12/2021 21:21:01,12/22/2021 21:21,10.563,97.262
22/12/2021 22:21:01,12/22/2021 22:21,10.5,94.906
22/12/2021 23:21:01,12/22/2021 23:21,10.563,94.387
23/12/2021 00:21:01,12/23/2021 0:21,11.313,86.283
23/12/2021 01:21:01,12/23/2021 1:21,11.438,88.878
23/12/2021 02:21:01,12/23/2021 2:21,10.875,92.192
23/12/2021 03:21:01,12/23/2021 3:21,10.75,95.066
23/12/2021 04:21:01,12/23/2021 4:21,10.5,98.938
23/12/2021 05:21:01,12/23/2021 5:21,9.875,99.976
23/12/2021 06:21:01,12/23/2021 6:21,10.125,102.052
23/12/2021 07:21:01,12/23/2021 7:21,10.063,104.368
23/12/2021 08:21:01,12/23/2021 8:21,10.688,104.567
23/12/2021 09:21:01,12/23/2021 9:21,11.5,103.769
23/12/2021 10:21:01,12/23/2021 10:21,12.438,103.929
23/12/2021 11:21:01,12/23/2021 11:21,12.875,103.689
23/12/2021 12:21:01,12/23/2021 12:21,12.813,104.248
23/12/2021 13:21:01,12/23/2021 13:21,11.5,105.206
23/12/2021 14:21:01,12/23/2021 14:21,11.375,105.486
23/12/2021 15:21:01,12/23/2021 15:21,9.875,105.925
23/12/2021 16:21:01,12/23/2021 16:21,9,107.641
23/12/2021 17:21:01,12/23/2021 17:21,9.125,106.923
23/12/2021 18:21:01,12/23/2021 18:21,10.688,106.204
23/12/2021 19:21:01,12/23/2021 19:21,9.313,106.563
23/12/2021 20:21:01,12/23/2021 20:21,9.875,108.2
23/12/2021 21:21:01,12/23/2021 21:21,9.813,106.404
23/12/2021 22:21:01,12/23/2021 22:21,10.563,106.164
23/12/2021 23:21:01,12/23/2021 23:21,11.625,106.723
24/12/2021 00:21:01,12/24/2021 0:21,11.938,105.765
24/12/2021 01:21:01,12/24/2021 1:21,12.063,105.605
24/12/2021 02:21:01,12/24/2021 2:21,12.313,105.725
24/12/2021 03:21:01,12/24/2021 3:21,12.813,106.204
24/12/2021 04:21:01,12/24/2021 4:21,12.438,105.446
