ReadingOriginal,ReadingStand,Values,Humidity
22/01/2021 07:49:01,1/22/2021 7:49,11.188,131.913
22/01/2021 08:49:01,1/22/2021 8:49,10.125,129.079
22/01/2021 09:49:01,1/22/2021 9:49,9.875,128.081
22/01/2021 10:49:01,1/22/2021 10:49,9.625,128.041
22/01/2021 11:49:01,1/22/2021 11:49,9.75,127.802
22/01/2021 12:49:01,1/22/2021 12:49,9.438,128.241
22/01/2021 13:49:01,1/22/2021 13:49,9.5,128.44
22/01/2021 14:49:01,1/22/2021 14:49,9.375,129.039
22/01/2021 15:49:01,1/22/2021 15:49,9.313,127.203
22/01/2021 16:49:01,1/22/2021 16:49,9.188,127.243
22/01/2021 17:49:01,1/22/2021 17:49,9.125,126.684
22/01/2021 18:49:01,1/22/2021 18:49,9.313,127.323
22/01/2021 19:49:01,1/22/2021 19:49,9.375,127.163
22/01/2021 20:49:01,1/22/2021 20:49,9.313,127.362
22/01/2021 21:49:01,1/22/2021 21:49,9.438,126.804
22/01/2021 22:49:01,1/22/2021 22:49,9.438,126.923
22/01/2021 23:49:01,1/22/2021 23:49,9.75,127.602
23/01/2021 00:49:01,1/23/2021 0:49,11.5,125.446
23/01/2021 01:49:01,1/23/2021 1:49,13.625,132.273
23/01/2021 02:49:01,1/23/2021 2:49,16.313,130.117
23/01/2021 03:49:01,1/23/2021 3:49,17.813,126.245
23/01/2021 04:49:01,1/23/2021 4:49,14.938,119.817
23/01/2021 05:49:01,1/23/2021 5:49,13.875,120.017
23/01/2021 06:49:01,1/23/2021 6:49,14.188,119.578
23/01/2021 07:49:01,1/23/2021 7:49,12.75,119.897
23/01/2021 08:49:01,1/23/2021 8:49,12.375,117.342
23/01/2021 09:49:01,1/23/2021 9:49,10.375,117.382
23/01/2021 10:49:01,1/23/2021 10:49,9.438,108.44
23/01/2021 11:49:01,1/23/2021 11:49,8.75,105.845
23/01/2021 12:49:01,1/23/2021 12:49,8,119.498
23/01/2021 13:49:01,1/23/2021 13:49,7.438,117.342
23/01/2021 14:49:01,1/23/2021 14:49,6,116.184
23/01/2021 15:49:01,1/23/2021 15:49,7.75,115.546
