ReadingOriginal,ReadingStand,Values,Humidity
21/12/2021 04:27:01,12/21/2021 4:27,9.063,80.215
21/12/2021 05:27:01,12/21/2021 5:27,9.438,83.17
21/12/2021 06:27:01,12/21/2021 6:27,8.938,85.205
21/12/2021 07:27:01,12/21/2021 7:27,9.125,83.848
21/12/2021 08:27:01,12/21/2021 8:27,11.313,77.101
21/12/2021 09:27:01,12/21/2021 9:27,15.625,62.85
21/12/2021 10:27:01,12/21/2021 10:27,21.25,48.358
21/12/2021 11:27:01,12/21/2021 11:27,21.5,49.875
21/12/2021 12:27:01,12/21/2021 12:27,21.5,39.975
21/12/2021 13:27:01,12/21/2021 13:27,22.625,47.001
21/12/2021 14:27:01,12/21/2021 14:27,25.938,40.054
21/12/2021 15:27:01,12/21/2021 15:27,23.25,42.929
21/12/2021 16:27:01,12/21/2021 16:27,15.75,58.977
21/12/2021 17:27:01,12/21/2021 17:27,10.063,79.018
21/12/2021 18:27:01,12/21/2021 18:27,9,86.204
21/12/2021 19:27:01,12/21/2021 19:27,8.125,85.685
21/12/2021 20:27:01,12/21/2021 20:27,7.125,90.276
21/12/2021 21:27:01,12/21/2021 21:27,7,89.557
21/12/2021 22:27:01,12/21/2021 22:27,7,91.912
21/12/2021 23:27:01,12/21/2021 23:27,7.625,86.962
22/12/2021 00:27:01,12/22/2021 0:27,7.563,92.711
22/12/2021 01:27:01,12/22/2021 1:27,7.25,94.188
22/12/2021 02:27:01,12/22/2021 2:27,6.938,93.31
22/12/2021 03:27:01,12/22/2021 3:27,7.438,92.192
22/12/2021 04:27:01,12/22/2021 4:27,7.063,93.03
22/12/2021 05:27:01,12/22/2021 5:27,8,89.637
22/12/2021 06:27:01,12/22/2021 6:27,5.938,94.827
22/12/2021 07:27:01,12/22/2021 7:27,5.813,99.417
22/12/2021 08:27:01,12/22/2021 8:27,9.25,87.281
22/12/2021 09:27:01,12/22/2021 9:27,18.188,66.722
22/12/2021 10:27:01,12/22/2021 10:27,23.625,43.967
22/12/2021 11:27:01,12/22/2021 11:27,27.5,35.463
22/12/2021 12:27:01,12/22/2021 12:27,28.313,32.39
22/12/2021 13:27:01,12/22/2021 13:27,23.563,40.134
22/12/2021 14:27:01,12/22/2021 14:27,23.875,43.647
22/12/2021 15:27:01,12/22/2021 15:27,17.813,55.943
22/12/2021 16:27:01,12/22/2021 16:27,15.625,65.524
22/12/2021 17:27:01,12/22/2021 17:27,13.063,73.988
22/12/2021 18:27:01,12/22/2021 18:27,12.375,80.175
22/12/2021 19:27:01,12/22/2021 19:27,11.375,83.928
22/12/2021 20:27:01,12/22/2021 20:27,12,86.483
22/12/2021 21:27:01,12/22/2021 21:27,11.813,87.92
22/12/2021 22:27:01,12/22/2021 22:27,11.063,88.798
22/12/2021 23:27:01,12/22/2021 23:27,11.188,88.639
23/12/2021 00:27:01,12/23/2021 0:27,12.25,81.652
23/12/2021 01:27:01,12/23/2021 1:27,12.25,86.603
23/12/2021 02:27:01,12/23/2021 2:27,11.625,88.439
23/12/2021 03:27:01,12/23/2021 3:27,11.563,90.595
23/12/2021 04:27:01,12/23/2021 4:27,11,94.866
23/12/2021 05:27:01,12/23/2021 5:27,10.188,96.663
23/12/2021 06:27:01,12/23/2021 6:27,10.313,102.771
23/12/2021 07:27:01,12/23/2021 7:27,10.375,104.647
23/12/2021 08:27:01,12/23/2021 8:27,11,106.524
23/12/2021 09:27:01,12/23/2021 9:27,11.5,110.795
23/12/2021 10:27:01,12/23/2021 10:27,13.313,110.556
23/12/2021 11:27:01,12/23/2021 11:27,13.563,112.751
23/12/2021 12:27:01,12/23/2021 12:27,13.813,113.43
23/12/2021 13:27:01,12/23/2021 13:27,12.813,116.743
23/12/2021 14:27:01,12/23/2021 14:27,12.188,119.218
23/12/2021 15:27:01,12/23/2021 15:27,10.313,119.658
23/12/2021 16:27:01,12/23/2021 16:27,9.813,125.127
23/12/2021 17:27:01,12/23/2021 17:27,9.625,124.967
23/12/2021 18:27:01,12/23/2021 18:27,10.75,124.289
23/12/2021 19:27:01,12/23/2021 19:27,10.125,125.247
23/12/2021 20:27:01,12/23/2021 20:27,10.125,124.528
23/12/2021 21:27:01,12/23/2021 21:27,10.063,125.047
23/12/2021 22:27:01,12/23/2021 22:27,10.688,124.887
23/12/2021 23:27:01,12/23/2021 23:27,11.5,123.929
24/12/2021 00:27:01,12/24/2021 0:27,11.813,123.45
24/12/2021 01:27:01,12/24/2021 1:27,12,124.129
24/12/2021 02:27:01,12/24/2021 2:27,12.125,124.408
24/12/2021 03:27:01,12/24/2021 3:27,12.5,123.77
24/12/2021 04:27:01,12/24/2021 4:27,12.375,123.45
24/12/2021 05:27:01,12/24/2021 5:27,12.375,124.169
24/12/2021 06:27:01,12/24/2021 6:27,12.25,124.289
