ReadingOriginal,ReadingStand,Values,Humidity
21/12/2021 04:24:01,12/21/2021 4:24,9.188,99.417
21/12/2021 05:24:01,12/21/2021 5:24,9.563,99.378
21/12/2021 06:24:01,12/21/2021 6:24,9.063,100.336
21/12/2021 07:24:01,12/21/2021 7:24,9.25,99.457
21/12/2021 08:24:01,12/21/2021 8:24,11,94.946
21/12/2021 09:24:01,12/21/2021 9:24,15.125,82.77
21/12/2021 10:24:01,12/21/2021 10:24,20.688,63.528
21/12/2021 11:24:01,12/21/2021 11:24,20.188,70.355
21/12/2021 12:24:01,12/21/2021 12:24,19.688,49.077
21/12/2021 13:24:01,12/21/2021 13:24,22.25,60.734
21/12/2021 14:24:01,12/21/2021 14:24,28.688,46.362
21/12/2021 15:24:01,12/21/2021 15:24,24.625,49.196
21/12/2021 16:24:01,12/21/2021 16:24,15.938,76.143
21/12/2021 17:24:01,12/21/2021 17:24,9.75,96.104
21/12/2021 18:24:01,12/21/2021 18:24,8.875,102.332
21/12/2021 19:24:01,12/21/2021 19:24,8.25,103.569
21/12/2021 20:24:01,12/21/2021 20:24,7.313,104.567
21/12/2021 21:24:01,12/21/2021 21:24,7.063,106.124
21/12/2021 22:24:01,12/21/2021 22:24,6.938,106.524
21/12/2021 23:24:01,12/21/2021 23:24,7.625,104.208
22/12/2021 00:24:01,12/22/2021 0:24,7.625,105.765
22/12/2021 01:24:01,12/22/2021 1:24,7.25,106.044
22/12/2021 02:24:01,12/22/2021 2:24,7,104.807
22/12/2021 03:24:01,12/22/2021 3:24,7.375,107.082
22/12/2021 04:24:01,12/22/2021 4:24,7.188,106.084
22/12/2021 05:24:01,12/22/2021 5:24,8.063,105.086
22/12/2021 06:24:01,12/22/2021 6:24,6.125,107.082
22/12/2021 07:24:01,12/22/2021 7:24,5.813,107.641
22/12/2021 08:24:01,12/22/2021 8:24,9,105.286
22/12/2021 09:24:01,12/22/2021 9:24,10.563,103.41
22/12/2021 10:24:01,12/22/2021 10:24,23.938,65.684
22/12/2021 11:24:01,12/22/2021 11:24,29.625,44.126
22/12/2021 12:24:01,12/22/2021 12:24,29.938,46.442
22/12/2021 13:24:01,12/22/2021 13:24,22.688,60.135
22/12/2021 14:24:01,12/22/2021 14:24,23,63.329
22/12/2021 15:24:01,12/22/2021 15:24,17.25,74.986
22/12/2021 16:24:01,12/22/2021 16:24,15.375,84.447
22/12/2021 17:24:01,12/22/2021 17:24,12.75,92.272
22/12/2021 18:24:01,12/22/2021 18:24,12.125,96.224
22/12/2021 19:24:01,12/22/2021 19:24,11.313,98.938
22/12/2021 20:24:01,12/22/2021 20:24,11.813,98.859
22/12/2021 21:24:01,12/22/2021 21:24,11.625,101.054
22/12/2021 22:24:01,12/22/2021 22:24,11.125,98.22
22/12/2021 23:24:01,12/22/2021 23:24,11.125,101.733
23/12/2021 00:24:01,12/23/2021 0:24,12,97.342
23/12/2021 01:24:01,12/23/2021 1:24,12,98.539
23/12/2021 02:24:01,12/23/2021 2:24,11.563,99.378
23/12/2021 03:24:01,12/23/2021 3:24,11.5,99.737
23/12/2021 04:24:01,12/23/2021 4:24,11,102.252
23/12/2021 05:24:01,12/23/2021 5:24,10.313,103.01
23/12/2021 06:24:01,12/23/2021 6:24,10.438,103.969
23/12/2021 07:24:01,12/23/2021 7:24,10.313,104.488
23/12/2021 08:24:01,12/23/2021 8:24,10.813,103.45
23/12/2021 09:24:01,12/23/2021 9:24,12,103.809
23/12/2021 10:24:01,12/23/2021 10:24,13.5,103.929
23/12/2021 11:24:01,12/23/2021 11:24,13.75,103.09
23/12/2021 12:24:01,12/23/2021 12:24,13.75,103.21
23/12/2021 13:24:01,12/23/2021 13:24,12.438,104.288
23/12/2021 14:24:01,12/23/2021 14:24,12.188,104.727
23/12/2021 15:24:01,12/23/2021 15:24,10.688,106.124
23/12/2021 16:24:01,12/23/2021 16:24,9.688,107.482
23/12/2021 17:24:01,12/23/2021 17:24,9.563,107.082
23/12/2021 18:24:01,12/23/2021 18:24,10.938,107.042
23/12/2021 19:24:01,12/23/2021 19:24,10,107.202
23/12/2021 20:24:01,12/23/2021 20:24,10.25,107.681
23/12/2021 21:24:01,12/23/2021 21:24,10.25,107.322
23/12/2021 22:24:01,12/23/2021 22:24,10.813,107.641
23/12/2021 23:24:01,12/23/2021 23:24,11.75,107.003
24/12/2021 00:24:01,12/24/2021 0:24,12,105.885
24/12/2021 01:24:01,12/24/2021 1:24,12.188,107.282
24/12/2021 02:24:01,12/24/2021 2:24,12.375,106.484
24/12/2021 03:24:01,12/24/2021 3:24,12.813,106.005
24/12/2021 04:24:01,12/24/2021 4:24,12.563,105.206
24/12/2021 05:24:01,12/24/2021 5:24,12.5,106.324
24/12/2021 06:24:01,12/24/2021 6:24,12.438,106.404
24/12/2021 07:24:01,12/24/2021 7:24,11.563,106.603
24/12/2021 08:24:01,12/24/2021 8:24,12.563,105.925
24/12/2021 09:24:01,12/24/2021 9:24,14.75,104.927
24/12/2021 10:24:01,12/24/2021 10:24,14.625,104.488
24/12/2021 11:24:01,12/24/2021 11:24,16.688,103.649
24/12/2021 12:24:01,12/24/2021 12:24,15.188,104.088
24/12/2021 13:24:01,12/24/2021 13:24,17.625,102.531
24/12/2021 14:24:01,12/24/2021 14:24,16.938,103.769
24/12/2021 15:24:01,12/24/2021 15:24,13.875,106.044
24/12/2021 16:24:01,12/24/2021 16:24,13.563,105.565
24/12/2021 17:24:01,12/24/2021 17:24,11.125,107.082
24/12/2021 18:24:01,12/24/2021 18:24,9.313,109.677
24/12/2021 19:24:01,12/24/2021 19:24,9.313,109.078
24/12/2021 20:24:01,12/24/2021 20:24,9.75,109.278
24/12/2021 21:24:01,12/24/2021 21:24,9.938,109.238
24/12/2021 22:24:01,12/24/2021 22:24,9.125,109.158
24/12/2021 23:24:01,12/24/2021 23:24,8.438,109.677
25/12/2021 00:24:01,12/25/2021 0:24,8.625,109.877
25/12/2021 01:24:01,12/25/2021 1:24,8.188,109.438
25/12/2021 02:24:01,12/25/2021 2:24,8.375,110.077
25/12/2021 03:24:01,12/25/2021 3:24,8.375,110.037
25/12/2021 04:24:01,12/25/2021 4:24,9.063,109.597
25/12/2021 05:24:01,12/25/2021 5:24,9.188,109.039
25/12/2021 06:24:01,12/25/2021 6:24,9.688,108.839
25/12/2021 07:24:01,12/25/2021 7:24,9.625,109.158
