sampleID	prelim_taxa	avgcov
T1_CG1	Curtobacterium	49.4211
T1_CG10	Curtobacterium	62.051
T1_CG11	Curtobacterium	77.1611
T1_CG12	Curtobacterium	45.9027
T1_CG13	Curtobacterium	50.235
T1_CG14	Curtobacterium	68.9308
T1_CG15	Curtobacterium	66.9574
T1_CG16	Curtobacterium	57.376
T1_CG17	Curtobacterium	47.1363
T1_CG18	Curtobacterium	58.7279
T1_CG19	Curtobacterium	68.3086
T1_CG2	Curtobacterium	33.2178
T1_CG20	Curtobacterium	45.2279
T1_CG21	Curtobacterium	36.1158
T1_CG22	Curtobacterium	73.8838
T1_CG23	Curtobacterium	53.6462
T1_CG24	Curtobacterium	35.2993
T1_CG25	Curtobacterium	36.1951
T1_CG26	Curtobacterium	49.8599
T1_CG27	Curtobacterium	37.4004
T1_CG28	Curtobacterium	63.1088
T1_CG29	Curtobacterium	58.0906
T1_CG3	Curtobacterium	45.3663
T1_CG30	Curtobacterium	55.8997
T1_CG31	Curtobacterium	56.2289
T1_CG32	Curtobacterium	67.8842
T1_CG33	Curtobacterium	75.6817
T1_CG34	Curtobacterium	44.8358
T1_CG35	Curtobacterium	69.4962
T1_CG36	Curtobacterium	36.3851
T1_CG37	Curtobacterium	62.053
T1_CG38	Curtobacterium	59.4596
T1_CG39	Curtobacterium	39.0798
T1_CG4	Curtobacterium	32.9656
T1_CG40	Curtobacterium	62.67
T1_CG42	Curtobacterium	71.3311
T1_CG43	Curtobacterium	84.2535
T1_CG44	Curtobacterium	33.6935
T1_CG45	Curtobacterium	37.8262
T1_CG46	Curtobacterium	70.5508
T1_CG47	Curtobacterium	75.5818
T1_CG48	Curtobacterium	64.7515
T1_CG5	Curtobacterium	33.7113
T1_CG6	Curtobacterium	33.439
T1_CG7	Curtobacterium	38.8611
T1_CG8	Curtobacterium	36.4839
T1_CG9	Curtobacterium	80.4864
T1_LE1	Curtobacterium	63.5428
T1_LE11	Curtobacterium	57.9712
T1_LE12	Curtobacterium	37.2876
T1_LE13	Curtobacterium	63.0507
T1_LE14	Curtobacterium	62.5478
T1_LE15	Curtobacterium	72.5508
T1_LE16	Curtobacterium	36.0685
T1_LE17	Curtobacterium	32.7304
T1_LE18	Curtobacterium	43.652
T1_LE19	Curtobacterium	62.6368
T1_LE2	Curtobacterium	74.5669
T1_LE20	Curtobacterium	50.6354
T1_LE21	Curtobacterium	53.5004
T1_LE22	Curtobacterium	62.6489
T1_LE23	Curtobacterium	34.7512
T1_LE24	Curtobacterium	32.5927
T1_LE25	Curtobacterium	63.7032
T1_LE26	Curtobacterium	58.1076
T1_LE27	Curtobacterium	64.9093
T1_LE28	Curtobacterium	44.845
T1_LE29	Curtobacterium	60.4163
T1_LE3	Curtobacterium	64.6363
T1_LE30	Curtobacterium	61.7103
T1_LE31	Curtobacterium	44.9307
T1_LE32	Curtobacterium	58.7224
T1_LE33	Curtobacterium	45.0606
T1_LE34	Curtobacterium	33.9733
T1_LE35	Curtobacterium	36.315
T1_LE36	Curtobacterium	53.0122
T1_LE37	Curtobacterium	32.1536
T1_LE38	Curtobacterium	48.3192
T1_LE39	Curtobacterium	56.5271
T1_LE4	Curtobacterium	59.6208
T1_LE40	Curtobacterium	60.0904
T1_LE41	Curtobacterium	40.8513
T1_LE42	Curtobacterium	39.1187
T1_LE43	Curtobacterium	29.4545
T1_LE44	Curtobacterium	42.67
T1_LE45	Curtobacterium	46.0177
T1_LE46	Curtobacterium	39.6503
T1_LE47	Curtobacterium	51.079
T1_LE48	Curtobacterium	60.7028
T1_LE49	Curtobacterium	72.7676
T1_LE5	Curtobacterium	33.8115
T1_LE50	Curtobacterium	64.5043
T1_LE51	Curtobacterium	49.6545
T1_LE53	Curtobacterium	79.2361
T1_LE54	Curtobacterium	34.2141
T1_LE55	Curtobacterium	64.6318
T1_LE56	Curtobacterium	67.3548
T1_LE57	Curtobacterium	60.7947
T1_LE58	Curtobacterium	55.9383
T1_LE59	Curtobacterium	46.1992
T1_LE6	Curtobacterium	68.2315
T1_LE60	Curtobacterium	63.8935
T1_LE61	Curtobacterium	74.6232
T1_LE62	Curtobacterium	36.9231
T1_LE63	Curtobacterium	44.8387
T1_LE64	Curtobacterium	66.7574
T1_LE7	Curtobacterium	72.5518
T1_LE8	Curtobacterium	60.9546
T1_WG1	Curtobacterium	62.1512
T1_WG10	Curtobacterium	38.5713
T1_WG11	Curtobacterium	46.3961
T1_WG12	Curtobacterium	37.9354
T1_WG13	Curtobacterium	49.5105
T1_WG14	Curtobacterium	35.2486
T1_WG15	Curtobacterium	48.9808
T1_WG16	Curtobacterium	43.1182
T1_WG17	Curtobacterium	67.0553
T1_WG18	Curtobacterium	8.59467
T1_WG19	Curtobacterium	78.0975
T1_WG2	Curtobacterium	49.2366
T1_WG20	Curtobacterium	33.8951
T1_WG21	Curtobacterium	46.9904
T1_WG22	Curtobacterium	53.2747
T1_WG23	Curtobacterium	54.1274
T1_WG24	Curtobacterium	70.1974
T1_WG25	Curtobacterium	55.768
T1_WG26	Curtobacterium	72.7291
T1_WG27	Curtobacterium	70.8413
T1_WG28	Curtobacterium	82.5814
T1_WG3	Curtobacterium	61.1355
T1_WG30	Curtobacterium	62.767
T1_WG31	Curtobacterium	57.9802
T1_WG32	Curtobacterium	50.5056
T1_WG33	Curtobacterium	68.644
T1_WG34	Curtobacterium	65.7962
T1_WG35	Curtobacterium	19.7874
T1_WG36	Curtobacterium	62.3053
T1_WG37	Curtobacterium	55.4994
T1_WG38	Curtobacterium	48.3464
T1_WG39	Curtobacterium	60.0645
T1_WG4	Curtobacterium	45.3049
T1_WG40	Curtobacterium	42.7969
T1_WG41	Curtobacterium	48.9525
T1_WG42	Curtobacterium	69.3732
T1_WG43	Curtobacterium	0.817822
T1_WG44	Curtobacterium	80.8926
T1_WG45	Curtobacterium	50.4144
T1_WG46	Curtobacterium	78.389
T1_WG47	Curtobacterium	45.9672
T1_WG48	Curtobacterium	61.3444
T1_WG6	Curtobacterium	64.6954
T1_WG7	Curtobacterium	44.9604
T1_WG8	Curtobacterium	73.9455
T2_CG01	Pantoea	9.09273
T2_CG02	Pantoea	65.9207
T2_CG03	Curtobacterium	14.4224
T2_CG04	Pantoea	13.3018
T2_CG05	Curtobacterium	9.11946
T2_CG06	Curtobacterium	7.92024
T2_CG07	Pantoea	9.14913
T2_CG08	Pantoea	9.57876
T2_CG09	Pantoea	23.4886
T2_CG10	Pantoea	22.2492
T2_CG11	Pantoea	31.7332
T2_CG12	annotated	23.6682
T2_CG13	Curtobacterium	30.0439
T2_CG14	Peribacillus	7.28962
T2_CG15	Curtobacterium	34.7825
T2_CG16	Curtobacterium	6.25982
T2_CG17	Curtobacterium	21.0645
T2_CG18	Curtobacterium	5.00084
T2_CG19	Pantoea	25.806
T2_CG20	Curtobacterium	16.2974
T2_CG21	Curtobacterium	21.203
T2_CG22	Pantoea	19.1715
T2_CG23	Peribacillus	19.3759
T2_CG24	Pantoea	44.0381
T2_CG25	Curtobacterium	8.68079
T2_CG26	Pantoea	17.2802
T2_CG27	Pantoea	12.3551
T2_CG28	Pantoea	15.7079
T2_CG29	Bacillus	36.3924
T2_CG30	Curtobacterium	14.7984
T2_CG31	Curtobacterium	18.3099
T2_CG32	Pantoea	25.4003
T2_CG33	Pantoea	29.2844
T2_CG34	Pantoea	20.1346
T2_CG35	Peribacillus	33.3572
T2_CG36	Peribacillus	8.0324
T2_CG37	Bacillus	14.0485
T2_CG38	Bacillus	23.8997
T2_CG39	Pantoea	8.49542
