file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_CG10.bre.gd,T1_CG10,241670966,1787741,241689624,1787914,240878287,1781364,4,2,2,0,0,0,0,0,0,0,3773875,3708157,0,1,0,0,0,1
T1_CG11.bre.gd,T1_CG11,291230914,2161067,291254182,2161280,290348564,2153973,7,3,4,0,0,0,0,0,0,0,3773875,3709578,0,2,0,0,0,1
T1_CG12.bre.gd,T1_CG12,178104199,1312467,178116501,1312580,177636693,1308794,4,1,3,0,0,0,0,0,0,0,3773875,3703241,0,0,0,0,0,1
T1_CG13.bre.gd,T1_CG13,195193497,1461490,195214509,1461686,194680729,1457442,5,1,4,0,0,0,0,0,0,0,3773875,3707110,0,0,0,0,0,1
T1_CG14.bre.gd,T1_CG14,265832823,1979824,265852294,1980012,264817175,1971703,4,1,3,0,0,0,0,0,0,0,3773875,3709190,0,0,0,0,0,1
T1_CG15.bre.gd,T1_CG15,261484625,1944461,261503440,1944644,260698087,1938247,4,1,3,0,0,0,0,0,0,0,3773875,3708027,0,0,0,0,0,1
T1_CG16.bre.gd,T1_CG16,223729363,1669748,223744930,1669896,223230940,1665889,6,1,5,0,0,0,0,0,0,0,3773875,3708388,0,0,0,0,0,1
T1_CG17.bre.gd,T1_CG17,192152068,1438293,192165758,1438424,191544019,1433416,4,2,2,0,0,0,0,0,0,0,3773875,3705764,1,0,0,0,0,1
T1_CG18.bre.gd,T1_CG18,241329338,1799059,241348265,1799226,240723042,1794370,5,2,3,0,0,0,0,0,0,0,3773875,3708786,0,0,0,0,0,2
T1_CG19.bre.gd,T1_CG19,289757724,2164470,289778987,2164666,288886430,2157614,4,1,3,0,0,0,0,0,0,0,3773875,3708905,0,0,0,0,0,1
T1_CG1.bre.gd,T1_CG1,196084216,1467563,196106486,1467774,195583944,1463603,3,1,2,0,0,0,0,0,0,0,3773875,3706940,0,0,0,0,0,1
T1_CG20.bre.gd,T1_CG20,163110965,1207298,163124122,1207418,162799608,1204918,3,1,2,0,0,0,0,0,0,0,3773875,3704738,0,0,0,0,0,1
T1_CG21.bre.gd,T1_CG21,139980520,1051409,139991327,1051512,139638620,1048704,3,1,2,0,0,0,0,0,0,0,3773875,3703282,0,0,0,0,0,1
T1_CG22.bre.gd,T1_CG22,284378779,2109735,284408256,2110010,283415121,2102097,3,1,2,0,0,0,0,0,0,0,3773875,3709239,0,0,0,0,0,1
T1_CG23.bre.gd,T1_CG23,203838228,1528993,203857830,1529180,203427299,1525810,5,3,2,0,0,0,0,0,0,0,3773875,3707413,0,2,0,0,0,1
T1_CG24.bre.gd,T1_CG24,218937315,1640185,218955203,1640352,218225165,1634542,4,2,2,0,0,0,0,0,0,0,3773875,3706651,0,1,0,0,0,1
T1_CG25.bre.gd,T1_CG25,222719545,1652836,222736549,1652996,222119705,1648182,4,2,2,0,0,0,0,0,0,0,3773875,3706892,0,0,1,0,0,1
T1_CG26.bre.gd,T1_CG26,207359081,1522127,207371631,1522252,206863113,1518312,3,1,2,0,0,0,0,0,0,0,3773875,3706958,0,0,0,0,0,1
T1_CG27.bre.gd,T1_CG27,229200187,1709985,229214793,1710114,228472412,1704305,3,1,2,0,0,0,0,0,0,0,3773875,3707102,0,0,0,0,0,1
T1_CG28.bre.gd,T1_CG28,240420223,1788396,240440673,1788582,239704083,1782712,3,1,2,0,0,0,0,0,0,0,3773875,3707077,0,0,0,0,0,1
T1_CG29.bre.gd,T1_CG29,240639189,1791793,240657421,1791964,239742480,1784674,3,1,2,0,0,0,0,0,0,0,3773875,3707740,0,0,0,0,0,1
T1_CG2.bre.gd,T1_CG2,197021355,1454019,197036867,1454162,196542250,1450337,5,3,2,0,0,0,0,0,0,0,3773875,3707473,1,1,0,0,0,1
T1_CG30.bre.gd,T1_CG30,226260205,1673653,226271480,1673762,225584583,1668358,3,1,2,0,0,0,0,0,0,0,3773875,3705827,0,0,0,0,0,1
T1_CG31.bre.gd,T1_CG31,232652259,1722979,232671250,1723150,232070837,1718364,5,2,3,0,0,0,0,0,0,0,3773875,3707813,0,1,0,0,0,1
T1_CG32.bre.gd,T1_CG32,276186120,2037813,276209233,2038030,275437596,2031952,3,1,2,0,0,0,0,0,0,0,3773875,3709601,0,0,0,0,0,1
T1_CG33.bre.gd,T1_CG33,279714391,2083826,279732970,2084004,278767795,2076311,4,2,2,0,0,0,0,0,0,0,3773875,3709002,1,0,0,0,0,1
