file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_CG10.filtered.gatk.gd,T1_CG10,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_CG11.filtered.gatk.gd,T1_CG11,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_CG12.filtered.gatk.gd,T1_CG12,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG13.filtered.gatk.gd,T1_CG13,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG14.filtered.gatk.gd,T1_CG14,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG15.filtered.gatk.gd,T1_CG15,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG16.filtered.gatk.gd,T1_CG16,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG17.filtered.gatk.gd,T1_CG17,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_CG18.filtered.gatk.gd,T1_CG18,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T1_CG19.filtered.gatk.gd,T1_CG19,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG1.filtered.gatk.gd,T1_CG1,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG20.filtered.gatk.gd,T1_CG20,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG21.filtered.gatk.gd,T1_CG21,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG22.filtered.gatk.gd,T1_CG22,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG23.filtered.gatk.gd,T1_CG23,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_CG24.filtered.gatk.gd,T1_CG24,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_CG25.filtered.gatk.gd,T1_CG25,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,0
T1_CG26.filtered.gatk.gd,T1_CG26,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG27.filtered.gatk.gd,T1_CG27,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG28.filtered.gatk.gd,T1_CG28,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG29.filtered.gatk.gd,T1_CG29,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_CG2.filtered.gatk.gd,T1_CG2,2,2,0,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T1_CG30.filtered.gatk.gd,T1_CG30,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
