Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
T1_CG1.contigs	90	3739135	221000	94101	71
T1_CG1.final	63	3724260	221000	94101	71
T1_CG10.contigs	81	3738860	358447	95287	71
T1_CG10.final	59	3726770	358447	95287	71
T1_CG11.contigs	56	3738626	536139	168901	71
T1_CG11.final	35	3725057	536139	168901	71
T1_CG12.contigs	121	3738172	194326	82535	71
T1_CG12.final	84	3704363	194326	82535	71
T1_CG13.contigs	98	3739208	261688	82573	71
T1_CG13.final	65	3720356	261688	82573	71
T1_CG14.contigs	64	3738359	508490	185247	71
T1_CG14.final	40	3726848	508490	185247	71
T1_CG15.contigs	91	3739803	284482	110429	71
T1_CG15.final	60	3728168	284482	110429	71
T1_CG16.contigs	71	3738849	296068	166647	71
T1_CG16.final	47	3726867	296068	166647	71
T1_CG17.contigs	101	3738405	235690	93336	71
T1_CG17.final	73	3725835	235690	93336	71
T1_CG18.contigs	70	3738463	342296	129247	71
T1_CG18.final	49	3730020	342296	129247	71
T1_CG19.contigs	71	3738860	399326	127026	71
T1_CG19.final	50	3727524	399326	127026	71
T1_CG2.contigs	207	3753813	216220	69057	71
T1_CG2.final	91	3700250	216220	69057	71
T1_CG20.contigs	87	3736398	216063	76237	71
T1_CG20.final	70	3722863	216063	76237	71
T1_CG21.contigs	118	3738072	216107	59191	71
T1_CG21.final	86	3710332	216107	59191	71
T1_CG22.contigs	71	3738969	301344	112456	71
T1_CG22.final	50	3726415	301344	112456	71
T1_CG23.contigs	71	3739114	309484	145281	71
T1_CG23.final	48	3728295	309484	145281	71
T1_CG24.contigs	255	3758061	181220	54297	71
T1_CG24.final	108	3679994	181220	54297	71
T1_CG25.contigs	247	3756699	160706	56077	71
T1_CG25.final	104	3690856	160706	56211	71
T1_CG26.contigs	79	3739026	492666	111037	71
T1_CG26.final	51	3727487	492666	111037	71
T1_CG27.contigs	333	3766086	179059	38657	71
T1_CG27.final	142	3655207	179059	38841	71
T1_CG28.contigs	88	3738124	301794	90268	71
T1_CG28.final	67	3720048	301794	90268	71
T1_CG29.contigs	84	3740402	287574	112505	71
T1_CG29.final	50	3723417	287574	112505	71
T1_CG3.contigs	96	3739437	307591	87191	71
T1_CG3.final	62	3720291	307591	87191	71
T1_CG30.contigs	90	3738056	216151	90230	71
T1_CG30.final	72	3728166	216151	90230	71
T1_CG31.contigs	87	3740497	229898	93336	71
T1_CG31.final	56	3729117	229898	93336	71
T1_CG32.contigs	49	3738314	870075	200364	71
T1_CG32.final	31	3728590	870075	200364	71
T1_CG33.contigs	62	3738325	394597	149079	71
T1_CG33.final	42	3728132	394597	149079	71
T1_CG34.contigs	244	3735354	118019	29218	71
T1_CG34.final	163	3589172	118019	29991	71
T1_CG35.contigs	75	3739128	342217	140388	71
T1_CG35.final	44	3723832	342217	140388	71
T1_CG36.contigs	223	3754348	167238	54391	71
T1_CG36.final	101	3694943	167238	54391	71
T1_CG37.contigs	63	3739562	382640	163476	71
T1_CG37.final	35	3727871	382640	163476	71
T1_CG38.contigs	77	3739538	301325	145934	71
T1_CG38.final	49	3725111	301325	145934	71
T1_CG39.contigs	140	3737537	172424	50590	71
T1_CG39.final	98	3678266	172424	56991	71
T1_CG4.contigs	298	3760432	159862	49926	71
T1_CG4.final	121	3669686	159862	49926	71
T1_CG40.contigs	68	3739415	309483	161708	71
T1_CG40.final	41	3727581	309483	161708	71
T1_CG42.contigs	65	3739457	453869	129248	71
T1_CG42.final	43	3728798	453869	129248	71
T1_CG43.contigs	57	3739010	307641	188254	71
T1_CG43.final	33	3728984	307641	188254	71
